Import_country,Nominal Value (SUM),Tons (SUM),Price
Slovakia,6884878044.178451,6562546.7669742955,1049.1167969767882
Slovenia,5355121761.215453,5543984.303930734,965.9337883439937
Solomon Islands,8127903.647392273,6095.048627119024,1333.5256442792531
Somalia,285446407.04459345,313946.32468594454,909.2204131713887
South Africa,3713349054.846002,4171715.441805856,890.1252030839775
South Korea,48245661160.33283,63222236.21991466,763.1122219801474
South Sudan,4209766.922091961,3069.1427168035148,1371.6426085510927
Spain,30880964998.31244,41759739.52186732,739.4913223091764
Sri Lanka,2483587764.087365,4990621.282568452,497.6510184738307
St. Martin Island (North Part),220.0,0.027,8148.148148148148
Sudan,1152626520.817037,2080991.7366703157,553.8832761831594
Suriname,25614008.945762634,19251.44477463608,1330.4980091421128
Swaziland,112921870.74573682,84672.32836844752,1333.6337020798908
Sweden,12229200958.195827,8454375.158200765,1446.4937655781068
Switzerland,8707908860.768297,7086927.32083041,1228.7283990021149
Syria,395863254.48416436,693258.7999445002,571.0180015253405
Taiwan,55425775896.74055,77919546.5741925,711.3205650390419
Tajikistan,154712337.1348698,186158.96768817902,831.0764668292364
Tanzania,1448850064.4809923,2290074.2050066036,632.6651168392225
Thailand,52136275529.872215,77249653.34160805,674.9062717384478
Togo,324144249.4108549,436027.59847516404,743.4030564680369
Tokelau,153468.16625976562,249.68100130558025,614.6569641153377
Tonga,1793982.8406329157,1188.216596257441,1509.8112972697684
Trinidad and Tobago,147596226.75625837,201224.75181306683,733.4894212883506
Tunisia,2607077077.862687,5002208.5840839725,521.1851993053399
Turkey,64446672837.62566,104213852.00751252,618.4079332657222
Turkmenistan,189502526.3550713,287306.5772154723,659.5829729750651
Turks & Caicos Islands,1597535.6000862122,826.7623711980426,1932.2790389834258
Tuvalu,774880.8325805664,1927.423,402.0294624379632
US Miscellaneous Pacific Islands,339710.2487893104,398.8638370756758,851.694782058815
Uganda,171525521.58560914,254891.6488923482,672.9350385977212
Ukraine,2889376382.5701485,3052612.6047755578,946.5257327608358
United Arab Emirates,13223244668.875423,19304805.636587005,684.9716551310086
United Kingdom,15887748050.220627,15608466.42763289,1017.8929572538467
United States,125139053668.0,183362647.3333963,682.4675335346127
Uruguay,300274966.61925,394827.5707153913,760.5217793559333
Uzbekistan,3227641344.332724,6436440.2006178545,501.4637351905938
Vanuatu,3328011.848110199,2942.1253279075045,1131.1591034353198
Venezuela,759298120.4743423,702755.5278364186,1080.4584103550235
Vietnam,34033836870.265762,47930676.46976848,710.063770782206
Wallis and Futuna Islands,99167.50384521484,113.52900067859893,873.4993107704564
West Bank,527920.6461372375,510.66700634754426,1033.786478419855
Western Samoa,2336659.7643861775,1994.7584834734964,1171.399837998094
Yemen,449781452.36584663,593444.7195564557,757.9163442586802
Zambia,292976590.3137958,365259.1323214348,802.1061333956491
Zimbabwe,218157886.6230117,223091.8025619987,977.8839209584323
