Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Difference,Ratio
Benin,1359.678439855578,0.0264931776515589,51321.83302955251,111831198.6889087,149510.93656587234,747.9800558913461,50573.85297366116,67.61390571222353
New Caledonia,6981.7827577591,0.2134249992668629,32713.050400572803,58070908.7330494,47873.58428544823,1213.0052428662789,31500.045157706525,25.96859769812147
Sudan,1726044.3037509918,127.5780000000475,13529.325618447923,1152626520.817037,2080991.736670316,553.8832761831594,12975.442342264763,23.426311824540477
Syria,2909.464454650884,0.21112600004673,13780.701827377548,395863254.4841644,693258.7999445002,571.0180015253405,13209.683825852208,23.13356810217128
Dominican Republic,10160282.485263826,1651.7533087654197,6151.210614409479,3074186113.500544,5579562.076386489,550.9726518701069,5600.237962539371,10.164275746774525
Afghanistan,435996.8545608521,117.6410829003928,3706.1615195264094,256282239.11032104,470705.79177134327,544.4637469742806,3161.6977725521288,5.806994111403125
Haiti,3900.323684692383,1.299000000026077,3002.5586486636525,98462356.85493708,131789.43017277488,747.1187691293127,2255.43987953434,3.0188505131022407
Guinea,20007.62976074219,7.856500005960465,2546.633964941522,114039014.34939504,138656.1370216189,822.4591914861611,1724.174773455361,2.0963651343476686
Bhutan,1668485645.7691908,1470428.6405977835,1134.6933810340429,314403115.8712361,849580.1284257653,370.0688202933975,764.6245607406454,2.066168557876442
Mauritius,4620628.302507162,2940.5763431827822,1571.334243104856,96317900.5777243,162590.31175864278,592.3963090783873,978.9379340264686,1.6525051203466112
Bolivia,41632.73969650269,22.962593333105552,1813.0678487642808,444820972.6397533,595714.5551704112,746.701534785409,1066.366313978872,1.428102480444653
Saint Barthelemy,133.8957901000977,0.0519833862857952,2575.7419757913235,798519.1033477784,668.4660060658446,1194.5545414453334,1381.18743434599,1.156236393086617
Greenland,35457.15275430679,3.130999891666697,11324.54614536323,3548608.78350687,668.724468012525,5306.53348763127,6018.012657731961,1.1340760727806658
Kosovo,2746388.000526428,1544.515582611437,1778.1549318414054,27582184.85571123,32967.111959394104,836.6576025732694,941.497329268136,1.1253078037806814
Ecuador,15720950.17491889,8767.584754007186,1793.0764989450142,1307563194.2502837,1548796.2891116885,844.2447876732942,948.83171127172,1.123882226014878
Indonesia,40872155430.210304,30249628.87418372,1351.1622109550003,38978441914.07787,60312149.5854518,646.278439451942,704.8837715030584,1.090681242748582
Denmark,1543240176.4250023,951829.5817632664,1621.3408429334024,9050051294.92717,11473467.282701088,788.7808516761294,832.559991257273,1.0555022849351816
Macedonia,435645653.348952,399088.0137417044,1091.602950598532,750592624.4246098,1412677.0074170255,531.3264252789194,560.2765253196127,1.0544864675712222
Paraguay,117475222.50195312,71888.48416210413,1634.1313058855671,359449764.9317445,445106.17073288537,807.5596083961179,826.5716974894492,1.0235426448966298
South Sudan,32037.894989013672,11.83599999961257,2706.8177585385583,4209766.922091961,3069.1427168035148,1371.6426085510927,1335.1751499874656,0.9734132941509096
Maldives,39060.97884225845,16.501349999964237,2367.138376093053,21802996.669049144,17336.36474562727,1257.6452439112695,1109.4931321817835,0.8821988057071374
Nepal,153785659.50578696,171350.53671198437,897.491554195004,5867055307.760207,12218341.598721469,480.18425907932857,417.30729511567546,0.8690565907257998
Gambia,35157.82500076294,20.178,1742.3840321519942,69877179.62762356,73398.77816478405,952.0210196244096,790.3630125275846,0.8301949182166144
Tanzania,14297273.66900985,12436.16408123258,1149.653026095552,1448850064.4809923,2290074.205006604,632.6651168392225,516.9879092563294,0.8171588657190186
Cameroon,903091.4754333496,817.3580179598059,1104.890948139888,612297173.6086979,999014.649137661,612.901096232399,491.98985190748897,0.8027230738072247
Djibouti,110419.95345687866,88.34567704467389,1249.8625529921792,1489138222.0771985,2119845.5118487445,702.4748802465808,547.3876727455984,0.7792273975027489
Colombia,143819180.06766504,118464.11779160814,1214.0315797620622,4335956211.932371,6347297.755122869,683.1184512232539,530.9131285388082,0.7771904383318983
Tunisia,258427194.2067228,284211.6711543753,909.2772058131028,2607077077.862687,5002208.5840839725,521.1851993053399,388.0920065077629,0.7446335909481507
Turkmenistan,325366.6053314209,284.3435009155496,1144.2730510237868,189502526.3550713,287306.5772154723,659.5829729750651,484.6900780487217,0.7348432235333718
Slovenia,5975934761.535737,3591115.166489587,1664.088865013309,5355121761.215453,5543984.303930734,965.9337883439936,698.1550766693155,0.7227773633079337
"Areas, nes., Spec Cat, Islands, Other",2578952464.6177645,1922625.7642688595,1341.3699704573005,1040939663.4134986,1325647.3481916655,785.2312040856563,556.1387663716442,0.7082484285876371
Guyana,9753.115692138672,5.12599982374907,1902.6757759436296,27800199.296369173,24546.68948936737,1132.5437309341075,770.132045009522,0.680002037867736
Israel,19025720.094228864,12535.720575912705,1517.7204995129398,1187460436.2579885,1312081.860371086,905.0200845869084,612.7004149260314,0.677002008420283
Spain,17280109814.425983,14051017.28480222,1229.8120103457843,30880964998.31244,41759739.52186732,739.4913223091764,490.3206880366079,0.6630513073574756
