Export_country,Import_country,Nominal Value (SUM),Tons (SUM)
Argentina,Chile,19988322.8546393,25784.165009128767
Argentina,China (mainland),17792.84006500246,13.441319976806643
Argentina,Colombia,2050320.71875,3996.264
Argentina,Costa Rica,3431497.703125,1792.44903125
Argentina,Cuba,6860.900024414061,6.367450103759774
Argentina,Denmark,590002.423828125,355.5
Argentina,Dominican Republic,5038005.5,10106.33
Argentina,Egypt,79002.0,48.0
Argentina,El Salvador,36103.4599609375,22.0
Argentina,Finland,519138.2421875,240.0
Argentina,France,3200022.226379395,2342.8508846897034
Argentina,Germany,2112926.500366211,1280.8560953379892
Argentina,Guatemala,4513726.0,2842.971
Argentina,Hungary,29.308500289917,0.0209999997168779
Argentina,India,1150888.8052368162,2301.9629999999997
Argentina,Indonesia,865843.0,460.0
Argentina,Italy,20927367.71789551,34579.756
Argentina,Japan,25836.599609375,21.0
Argentina,Mexico,119336017.92675781,237256.94847999953
Argentina,Netherlands,10266587.390625,22433.64800262451
Argentina,New Zealand,5517.8720703125,2.402
Argentina,Norway,312933.234375,136.62
Argentina,Pakistan,6061356.407089235,13374.932219999313
Argentina,Paraguay,139177610.85933545,200318.46966811572
Argentina,Peru,4465213.826637268,5075.655039934043
Argentina,Poland,1273904.8072814941,834.002220498282
Argentina,Portugal,58.0985984802246,0.046000000089407
Argentina,Romania,37018.92578125,22.0
Argentina,Saudi Arabia,207600.0,114.0
Argentina,Slovenia,26358.333984375,24.0
Argentina,South Africa,226552.0,120.0
Argentina,South Korea,210952.0,186.34479980468748
Argentina,Spain,14389394.921386719,9922.046604421414
Argentina,Sweden,4174179.132105827,2604.4792076168874
Argentina,Switzerland,4259.961364746096,3.3049999999999997
Argentina,Taiwan,429505.176269531,619.0
Argentina,Thailand,1563636.680496216,747.8607109018166
Argentina,Turkey,4536483.0546875,2716.0
Argentina,United Arab Emirates,81911.0,46.0
Argentina,United Kingdom,3483602.4111328125,2715.6
Argentina,United States,90665145.0,113944.16500000001
Argentina,Uruguay,38084906.0,40199.8173384824
Argentina,Venezuela,67033.75,50.0
Argentina,Vietnam,424322.3952636717,966.063
Armenia,Austria,247193.58203125,219.5
Armenia,Georgia,24826253.357421875,47077.0099957431
Armenia,Germany,9462.400390625,25.2000007629395
Armenia,Hong Kong SAR,9496.2060546875,4.182
Armenia,Iran,75978.69995117188,275.216
Armenia,Netherlands,4.52680015563965,0.0040000001899898
Armenia,Peru,307145.74755859375,342.18
Armenia,Russia,228.78000640869192,0.43057998657226604
Armenia,Serbia,5335.62561035157,3.0
Australia,American Samoa,102844.8046875,154.0
Australia,"Areas, nes., Spec Cat, Islands, Other",2270.936497688293,1.4009999762056375
Australia,Austria,12969.746376037601,14.974883299541322
Australia,Bangladesh,20380539.80908203,41666.200000047684
Australia,Belgium,111133.15112304688,89.72399997711182
Australia,Cambodia,454821.78955078125,325.2799973487853
Australia,Canada,7092038.300842286,7561.047588323818
Australia,Chad,236.275207519531,0.264999985694885
Australia,China (mainland),6424059.537796022,7027.309373172728
Australia,Christmas Island,159.0139007568356,0.1059999987483024
Australia,Cook Islands,10840.0,4.75699996948242
Australia,Czech Republic,88627.64453125,48.919999599456766
Australia,Denmark,55.434398651123,0.0389289951852735
Australia,East Timor,618113.4790039062,348.04499959945696
