Country,Nominal Value (SUM)_exporter,Tons (SUM)_exporter,Price_exporter,Nominal Value (SUM)_importer,Tons (SUM)_importer,Price_importer,Market share of value export,Market share of volume export,Market share of value import,Market share of volume import
Estonia,56480889.490296185,43084.109141479,1310.9448150552453,914941992.4477267,789305.7195613745,1159.173143906989,4.3334805870377674e-05,2.4447666375279147e-05,0.0007028283054112822,0.00044842241047405527
Ethiopia,23550.26452350618,18.10678353067181,1300.6321351118734,1040985933.1131237,1844080.4421978858,564.5013684285997,1.8068875163474888e-08,1.027452143512204e-08,0.0007996511094321418,0.001047663758800544
Falkland Islands,16750.0,11.34,1477.0723104056437,201830.93530273435,118.66652814135041,1700.8244739605266,1.2851391061281596e-08,6.434774728317581e-09,1.550398772920015e-07,6.741713543049269e-08
Finland,8639150696.609812,5966546.84726811,1447.9314279691612,2992713186.136454,2435357.104482391,1228.8601045933767,0.006628364420267224,0.003385660041280756,0.0022989037059794304,0.0013835813881647575
France,43108679125.63054,51738983.78991773,833.195319426259,51544634493.05953,55433892.19215179,929.8397145628736,0.03307501454201701,0.029358792359805607,0.039594890619112894,0.03149324646041759
Gabon,301316507.35690117,270633.97439329146,1113.3728055850859,53481906.854581356,55743.63052155933,959.4263300431566,0.00023118425488137732,0.00015356866481923274,4.108303944407382e-05,3.166921580264701e-05
Gambia,32334.82500076294,20.035,1613.9168954710726,63654004.215958595,71161.00179351162,894.5068592578821,2.4808804834800568e-08,1.1368669460479959e-08,4.889690962380961e-05,4.0428172715798735e-05
Georgia,3316946418.4819775,3203876.2007544716,1035.2916937617251,253825759.6111361,379000.3381795996,669.724361804801,0.0025449179434763754,0.0018180089602533526,0.00019498058890046906,0.0002153186541096173
Germany,87568789495.22942,88128706.37342834,993.6466005091872,82866679359.00713,85265665.52379914,971.8645699877588,0.06718691095917857,0.050007792999211396,0.06365545390821979,0.048441350819178365
Ghana,13564690.868221283,16569.718005794548,818.6434351796219,1076692491.513298,1350666.976361037,797.1561534836069,1.040747146106908e-05,9.402328278574564e-06,0.0008270797116163369,0.0007673444221639454
Gibraltar,4940.387741088868,5.188000076055526,952.2721026721882,452195.5724314456,500.3852867880045,903.6947815434565,3.790498797319084e-09,2.943881109339664e-09,3.4736174589192367e-07,2.8428018561923126e-07
Greece,1129475240.1389413,1690631.7803768772,668.0787935307578,3216718773.799535,4063953.6704880493,791.524469670746,0.0008665867465707746,0.0009593328620158456,0.0024709774209028344,0.0023088238889081465
Greenland,13.36360025405884,0.008000000147148901,1670.4500010317447,255266.69606637952,168.0247950105296,1519.2203986940303,1.025318524486879e-11,4.539523701358967e-12,1.960874688288181e-07,9.545868189058773e-08
Grenada,105153.435546875,124.15299999999999,846.9665295794302,987771.4324951172,805.9788663254592,1225.555003691932,8.067868188956178e-08,7.044943446603285e-08,7.587734826521054e-07,4.5789480181348883e-07
Guatemala,92092239.11574745,90012.48548417815,1023.1051683595035,2304224319.982747,3765351.059181959,611.9547111985227,7.065751513943428e-05,5.107672546972157e-05,0.0017700292340592984,0.002139180999698964
Guinea,3104.033203125,3.5,886.8666294642857,110522917.09300853,137487.48289032545,803.8762130889638,2.3815608692872778e-09,1.9860415828140683e-09,8.490006489021087e-05,7.810974500723382e-05
Guyana,5952.754364013672,5.02699982374907,1184.1564696085838,19691389.144512177,23116.305960558937,851.8397869499411,4.567234282011362e-09,2.852523053361327e-09,1.5126276614112572e-05,1.3132895636243498e-05
Honduras,334049132.25641274,381079.70202324545,876.5860015184858,488944663.7678186,812975.941322774,601.4257481866786,0.00025629827058560814,0.0002162400384527314,0.00037559118754237143,0.00046186999819025816
Hong Kong SAR,550176063.7347902,556806.5121353362,988.092006368391,3030488230.5162888,3714655.544990573,815.8194464633677,0.00042212105955894785,0.0003159545390521268,0.002327921250968581,0.002110379732825393
Hungary,4098780176.397211,5232833.064542022,783.2812791546479,8273210338.098976,9148032.60232678,904.3704474768383,0.0031447777266333924,0.0029693211606013794,0.006355207707410382,0.0051972039844209485
Iceland,1373337227.7525978,925242.546619821,1484.2996928424839,52301791.97647268,51507.46016863943,1015.421684649807,0.0010536891804695512,0.0005250200490787853,4.0176514061242904e-05,2.9262551725905375e-05
India,50812620524.42151,74242086.51628137,684.4180020893978,31245526612.397964,36080361.29465354,865.9981633007646,0.038985842221363844,0.04212796314748984,0.024001784486823007,0.02049806834228228
Indonesia,34951210344.90991,27965225.29109022,1249.809718359231,38517934065.54635,59878521.730703816,643.2679523849295,0.02681621923627153,0.015868600085962522,0.02958820837898979,0.03401834090981454
Iran,13063317252.267376,29321299.205503877,445.5231386819064,7489451633.987148,10946534.846878693,684.1846976006932,0.01002279394426714,0.01663809128121823,0.005753150083638425,0.006218973739482576
Iraq,26600863.354697943,73466.02268173873,362.08389107894436,1075278865.044001,1863542.956796622,577.0078232553197,2.040943865904109e-05,4.168759313425561e-05,0.0008259938103197503,0.0010587208530214013
Ireland,110136658.24863529,123050.43252826689,895.0529956352241,791024352.681937,659280.9628284147,1199.8289003952475,8.450204569169777e-05,6.982379308125568e-05,0.000607638855712774,0.00037455240878713256
Israel,9432350.459014893,11522.571870606027,818.5976676853481,1041271240.0720874,1272033.3521480947,818.5880018897955,7.236944738857275e-06,6.538373393139215e-06,0.0007998702728415664,0.0007226708838377901
Italy,30321366781.145992,27740283.732377026,1093.0445799931188,85028215439.92317,115714020.75218743,734.8134209424732,0.02326398459803345,0.015740959146160406,0.06531587473639855,0.06573974928266815
Jamaica,100040.607421875,82.0704392027555,1218.9603028043277,26218108.885053635,25670.739683635675,1021.3226891068858,7.675587868577108e-08,4.657008713613894e-08,2.0139887764331142e-05,1.4584127141489443e-05
Japan,101495794396.70839,136118681.04876637,745.6419178815444,29543652475.693275,33028302.14139705,894.4950409262431,0.07787236685776316,0.0772392459316158,0.022694460825436046,0.018764124588304124
Jordan,17432558.686023712,29689.94398454872,587.153640138088,1477722660.0420623,3037927.2398924106,486.42463869358386,1.3375082320766089e-05,1.6847275241352618e-05,0.001135137879338894,0.0017259150947422231
Kazakhstan,7208563394.613437,12080254.568172315,596.7228052963173,2154582137.763572,4198858.125805976,513.1352556357206,0.0055307502790577215,0.006854825115248521,0.001655079038073887,0.002385466157598371
Kenya,121448671.0698686,132149.14883567233,919.0272668414248,3245723304.723338,5815868.795397152,558.0805583668081,9.31811561666769e-05,7.498677277746587e-05,0.002493257746307825,0.0033041264488519167
Kosovo,2375090.988548279,1426.19084448067,1665.3388273665012,26652702.484860428,32767.12733024778,813.3975925395498,1.8222819761170042e-06,8.092783777620921e-07,2.047372825456555e-05,1.8615745277894785e-05
Kuwait,273082740.52494156,425668.5720897707,641.5384137576176,1158713837.5539212,2280807.9309966415,508.02780094139695,0.0002095219755565681,0.0002415415670478207,0.0008900858083100321,0.0012957785112899197
Kyrgyzstan,6107295.730822086,8977.472996907329,680.291183602112,117569706.12202543,131332.11721275968,895.2090974941112,4.685805717235237e-06,5.094181337270968e-06,9.031317613959723e-05,7.461274271005398e-05
Laos,149969.44239807135,163.9294266281211,914.8414990694844,97888012.38431954,101146.1534814829,967.7877903902709,1.1506363889551996e-07,9.302018798009036e-08,7.519434721767956e-05,5.746341478375482e-05
Latvia,954010726.0597404,1181048.4608309956,807.7659450049073,1280292192.6334283,1611374.5830164128,794.5341859847294,0.0007319620846119949,0.0006701746727225456,0.000983478296555786,0.0009154583031456922
Lebanon,21443720.017385487,34252.076005900846,626.0560677750226,451793397.1752583,639964.8526743492,705.9659531101728,1.6452634731465854e-05,1.9436013498693454e-05,0.00034705280810557474,0.0003635784902387127
Lesotho,210953.1612787248,261.04365200109754,808.1145036916579,184684681.0271534,126893.25146034393,1455.4334363862538,1.6185322813173127e-07,1.4812672794394988e-07,0.00014186868946137408,7.209092279777065e-05
Liberia,935533.2069339751,656.7074014365347,1424.581487718144,50030915.23632479,55650.27426320236,899.0236957269901,7.177852592909489e-07,3.726423448556369e-07,3.8432101339725776e-05,3.1616178003264875e-05
Libya,1074952749.6645246,2755538.5806007315,390.1062236008234,666137010.8151251,1264647.314002985,526.737378428934,0.0008247545169157459,0.0015636040583204309,0.0005117045127969463,0.0007184747087096991
Liechtenstein,2344096.9470958714,1880.283918826523,1246.6718050531497,42728671.69281197,50672.96387005173,843.2242448337441,1.7985018837424095e-06,1.0669491572245904e-06,3.2822758345578735e-05,2.878845552658691e-05
Lithuania,146178060.31495243,207766.97601051297,703.5673480060462,711450926.6729635,652275.575940461,1090.721395856625,0.00011215471150370518,0.00011789538682640334,0.0005465131705662896,0.0003705724902375175
Luxembourg,2794955807.4593444,3069095.224917624,910.6774481180727,3640285587.2038493,5060465.911756342,719.3577924804973,0.0021444220943677675,0.001741528782372142,0.0027963474969849196,0.0028749650053626875
Macao,61827.51045227051,50.65233968703918,1220.6249668678347,10117673.785399437,8637.954487312205,1171.3043638121394,4.743698598015544e-08,2.8742186538652325e-08,7.77206378108469e-06,4.907417084115695e-06
Macedonia,435451664.75641435,398940.72182941344,1091.5197194199015,737146907.0683905,1408410.9744165074,523.3890678633658,0.000334099082511688,0.00022637510360887862,0.0005662519764209474,0.000800150091952874
Malawi,77051.64832639694,105.24955297673245,732.0852787225688,46462176.53373766,45640.35430788832,1018.0064821650014,5.911766355575347e-08,5.972285393839509e-08,3.5690713803140204e-05,2.592931634273026e-05
Malaysia,15684244226.153141,22324253.863630082,702.5652154809698,16986894723.92083,19522853.46143032,870.1030695886966,0.0120336928985637,0.012667684708133418,0.013048773071474505,0.0110913740918681
Mali,456512.03161621094,1079.962817989546,422.71087857084905,90226713.7626734,126024.29453802633,715.9469854080282,3.502575905958254e-07,6.128145898343713e-07,6.930918993782173e-05,7.15972487396119e-05
Malta,21711930.987883743,21706.312247518203,1000.2588528305255,28968746.480113037,21900.144991540787,1322.7650543547811,1.665841885497624e-05,1.2317039638033555e-05,2.2252836973891676e-05,1.2441967115473827e-05
Mauritania,664479.5563278198,876.6360000000001,757.9879862654736,87013046.07013577,118048.71060510814,737.0944216511467,5.098200973489973e-07,4.974387282833697e-07,6.684055625705836e-05,6.706613933104866e-05
Mauritius,1194587.6220245361,1596.023264288884,748.4775747030169,93552150.76066305,162283.45890299178,576.4737293194233,9.165440410509709e-07,9.056481628618204e-07,7.18636811179635e-05,9.21968991454753e-05
Mexico,13698690666.574312,19324693.27940272,708.869758940759,55197296936.53189,71488192.66756846,772.1176725394103,0.010510282434846254,0.010965612693720391,0.0424007456094573,0.040614057242913545
Moldova,761228.0929570198,875.6783604672025,869.3010211544798,181753140.40561628,283167.1187926808,641.8582114355086,5.840501438462257e-07,4.968953248738031e-07,0.00013961677650483,0.0001608736372093824
Monaco,15883.0302734375,10.14,1566.3737942246055,376273.0,383.6978024193753,980.6493485952778,1.2186210942216099e-08,5.753846185638472e-09,2.890405262245393e-07,2.1798738966456356e-07
Mongolia,766410.0,1655.6816322057412,462.89696345726145,38559545.615727425,47970.85120104144,803.8119952078379,5.88025947658318e-07,9.3950073413202e-07,2.9620173001381925e-05,2.7253324275943718e-05
Montenegro,6635098.30450058,6828.959671117723,971.6118741428425,18950179.8520931,17710.739591175956,1069.9824112108042,5.090760778578115e-06,3.875027964057166e-06,1.4556904047057992e-05,1.006187126474492e-05
Morocco,141942710.79276133,176421.74173123896,804.564728813283,5177370223.557888,9477232.624803187,546.295572613467,0.00010890515132514457,0.00010010883291163559,0.003977085291467718,0.00538422995414155
Mozambique,3137481.473148346,3454.5461162490847,908.2181472091609,338486260.8678748,409720.51357029175,826.1394039520162,2.407223961728673e-06,1.9602492104627213e-06,0.0002600139977118401,0.00023277147974799624
Myanmar,89666956.51402068,108475.7429269396,826.6083651016156,671411043.8808793,845547.6886918248,794.0546143762061,6.879672378726036e-05,6.155352462272888e-05,0.0005157558513002436,0.0004803747436983717
Namibia,1449251.8042969778,1336.8668669946196,1084.0659156696795,206210776.3974788,205329.76411118376,1004.2907188351805,1.111934428853039e-06,7.585923395821939e-07,0.000158404326972964,0.00011665247759255176
Nepal,153784916.45226294,171350.46092644116,897.4876146862604,5796461215.6582985,12019448.124267485,482.2568520392494,0.00011799105078534621,9.723118303836267e-05,0.004452650602126667,0.006828520010531598
Netherlands,31919870169.086807,35935986.505425386,888.2424909712092,23450192436.101875,25548302.043229587,917.8767495555063,0.02449043189064306,0.020391532434062866,0.018013665508281478,0.014514567551988223
Netherlands Antilles,926285.5677428246,1065.4593984737396,869.3766924105412,1083711.015472412,987.0587483390234,1097.9194676061893,7.106900337602558e-07,6.045847629054031e-07,8.324711105699208e-07,5.60770373557735e-07
New Caledonia,4.61396503448486,0.012,384.4970862070716,49466800.01398755,46151.147997096174,1071.8433269980628,3.540051880671317e-12,6.809285426791091e-12,3.7998766604797604e-05,2.6219509776900235e-05
New Zealand,300719159.40482,476889.04232043197,630.5851733174452,739940171.4330535,546976.610964786,1352.782105486939,0.00023072594132126682,0.00027060613383907313,0.0005683976701110247,0.0003107497694278228
Nicaragua,1024742.3878555298,893.1430164787961,1147.3441195292132,229277531.39259064,236955.51365746686,967.5973681879578,7.862307560240545e-07,5.068054771791084e-07,0.0001761234484674099,0.00013461978036653134
Niger,2590911.9865722656,5604.767116285324,462.2693383716265,9910132.757508755,13522.630182270419,732.8554152506496,1.987870038495651e-06,3.180371587123299e-06,7.612637598725859e-06,7.682511696041757e-06
Nigeria,17495273.475513697,34065.07159875478,513.583933760269,3276612651.952045,4475046.57869715,732.1963233969259,1.3423200069127984e-05,1.9329899633333003e-05,0.002516985925522698,0.0025423750570541925
Norway,11037633242.63706,8911731.760316972,1238.5508832061698,1236075724.2467842,1084666.5275446326,1139.5905495902946,0.008468593504007792,0.005056877100249806,0.0009495126617898946,0.0006162235579800166
Oman,10167875998.457193,19004604.176157147,535.0217191691705,3588709308.314799,7249331.028953444,495.0400656255983,0.007801274669778654,0.010783981188219997,0.0027567282981829995,0.004118508727054645
"Other Africa, nes.",15356.17006874085,34.02,451.3865393515829,2641.0,6.055,436.168455821635,1.178197891086186e-08,1.9304324184952744e-08,2.028729219898872e-09,3.4399822883955136e-09
"Other Europe, nes.",105955664.0405276,129772.37899939693,816.4731575200605,202737940.26359642,101111.2868386651,2005.0970233134165,8.129418947716968e-05,7.363809742671698e-05,0.0001557366086311511,5.744360625629832e-05
Pakistan,624750864.9698625,1247732.9099762323,500.70881354068246,6652085766.080472,12196715.021250295,545.3997862941428,0.0004793383690508439,0.0007080141267024,0.005109913202166159,0.006929229339340797
Panama,20541831.437444687,32459.025129532733,632.8542325430092,79306362.40180016,84034.52890628879,943.7354315419409,1.576066321895701e-05,1.8418563898531086e-05,6.0920535679069014e-05,4.774191429418567e-05
Papua New Guinea,370972.2303466797,305.08013180751635,1215.9829227448233,93353457.65202236,91122.0848857646,1024.4877273062302,2.846274152275234e-07,1.7311480796003552e-07,7.171105161577043e-05,5.176851496097486e-05
Paraguay,64380956.31347656,55974.14743351891,1150.1909232283083,351599044.0047188,442780.82611850864,794.0701657903646,4.939611023783723e-05,3.176199553300969e-05,0.00027008680585417734,0.0002515537901715613
Peru,44796968.1004606,72960.60747385156,613.9884199362709,4926917561.158879,7233025.03354729,681.1697095347357,3.437034957724036e-05,4.140080010012688e-05,0.003784695804754224,0.004109244922695961
Philippines,50419687.037126064,66100.31666880607,762.7752721632576,14895305108.769869,25312547.318950456,588.4553980712313,3.86843650926291e-05,3.750799358326479e-05,0.011442082814642323,0.014380629967194535
Poland,10357148098.527124,12067763.863967784,858.2491516470374,27794851494.901863,31184991.572021104,891.2893701032505,0.00794649316380783,0.006847737384405998,0.021351089507935347,0.017716898211645907
Portugal,2040019257.0654154,3133345.7204661835,651.0674017681964,5967694467.133842,6965013.859967815,856.8101352150675,0.001565199119110018,0.0017779871126223845,0.004584186346423042,0.003956981720349885
Qatar,2451270386.584868,4730777.847719844,518.153772062313,1271883249.420593,2290530.4418029124,555.2789110366391,0.0018807304080561823,0.002684434721322072,0.0009770188233243023,0.001301302089320028
Romania,4620671801.154169,4802281.10006637,962.182701277172,7056037574.0811,7844232.392036165,899.5191908445653,0.003545197628804097,0.0027250085591696855,0.005420215677108171,0.004456485630827875
Russia,119023292747.44727,252013052.72258234,472.29019077225695,7505180857.672239,8804172.188609716,852.4573005718778,0.09132029137306545,0.1430024006054179,0.005765232755238678,0.005001849115243895
Réunion,2721175.6083984375,2408.3129021823047,1129.9094922145002,14957096.656269073,18697.230460169954,799.9632185168624,2.0878144411909965e-06,1.3665741623319105e-06,1.1489549046355465e-05,1.0622319013217794e-05
Saint Barthelemy,91.3912963867188,0.0500000007450581,1827.8259004976462,536132.1680145265,640.0020058318041,837.7038870647302,7.011971877392329e-11,2.8372023034405653e-11,4.1183907420628597e-07,3.635995977867892e-07
Saudi Arabia,1385361325.2581284,2326797.1130067883,595.3941224673019,12915979563.323988,21294094.2910206,606.5521917394,0.0010629146359443305,0.0013203188060580589,0.0099216301187929,0.012097656021227891
Senegal,166835135.4562569,225949.2698906787,738.374306484712,327284815.8019667,484650.96316114446,675.300042049325,0.00012800379513493995,0.00012821275588839045,0.00025140941652656944,0.0002753411609129915
