Export_country,Import_country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,Belgium,73.62671598046909,76.00399189545173,74.86736672389101,75.00330868706632,79.93595608534415,78.77414975978894,75.237595811809,71.93429429864366,69.42714572592217,69.82090261378877,60.96396268519331
Austria,Brazil,151.35214219445854,164.06138176046082,163.69579758947634,162.04328288181847,157.7982864299563,168.28952503670433,156.57430040836218,144.18470958948456,152.3615801588237,150.69232368618657,146.37690663240716
Austria,Canada,124.60916025414997,127.7791786831274,119.70428478070035,127.57096070110916,126.57829455566043,135.6175967595882,123.46514479565597,130.19422570551126,,,
Austria,China (mainland),121.86411182377879,127.02643811844894,126.75699046496787,124.15258713018895,125.71491786333424,128.4609328258312,124.64797060408479,124.06827279691743,121.9128436937074,119.93119685572596,109.41622533408105
Austria,France,67.53446037774036,68.42279119327782,67.62587162650975,66.7488804552076,69.17223229037366,70.28250508858302,64.52205420324529,65.48053122648537,66.07545560129246,66.12190298071144,58.51924531621704
Austria,Germany,28.05109662099241,29.9031916427126,29.248245908248837,29.811752381420575,30.076292562124564,30.62274378003982,28.36101784629479,28.073050160896983,28.714944732719605,28.098085058170618,23.028923094248952
Austria,India,147.36732253559083,154.26318310386327,141.0769063873811,144.69833662213009,148.18581670499387,145.8096030694674,144.78170734449338,140.26821563635684,140.45650023772387,140.45851602975907,131.39453342317452
Austria,Indonesia,192.38800943589064,197.9271575186898,191.2545423185405,202.37461080713132,210.58421300943476,214.5500786269851,212.89848601250162,214.35071967297935,213.82104788656133,208.51679937623348,199.23794400238742
Austria,Iran,197.28121690536358,204.12606925903845,210.97092161271155,206.32149454597362,189.1714741338733,192.8925929161049,178.33445605934327,184.82367627194546,,,
Austria,Italy,55.044444454674604,57.54458366849467,56.33507240971029,56.391822347554445,57.83774659407022,58.54401744508597,55.56622639170232,54.972753589399126,55.17154753111315,55.0609437849811,47.20876614056475
Austria,Japan,132.7910425641444,142.32678239325656,137.60997112442598,136.70807936328168,138.2350630430645,139.2881926503299,133.56093910534398,131.53615667084847,132.29471208167283,134.49636808955822,
Austria,Malaysia,122.2156978255629,137.27750066229314,121.0833810192074,115.48121609087892,117.70655736601792,122.51921093111551,117.28898953864876,113.37524832697135,123.12849660531438,114.82479634300269,76.72710908563587
Austria,Mexico,175.16700165722287,163.23871917155532,157.5695000531193,159.44605333621917,162.36993183934013,158.99037973038799,159.0706130688603,151.1760276598184,172.7663816062153,141.38279234143872,174.19745792759213
Austria,Russia,121.20955841092544,119.51991315199896,118.93099347086236,115.06861575591087,128.73972754722104,128.26843946292246,127.89314369771891,126.16649065033805,130.20927878742577,129.98099807308367,124.75298243455826
Austria,South Africa,145.23126462177544,149.7907834399471,147.54579285038187,146.42405676472055,151.7188898624821,150.66374387241538,155.21848481521295,155.21912080106634,140.6788229341265,148.03675242249832,127.69008918585767
Austria,South Korea,119.81890745224094,122.70735441344054,130.10251931825428,123.3062174801915,126.79409101514057,128.7476466172435,118.78155976935032,117.86772117471207,122.70374066652083,117.59442768488624,113.29230054382235
Austria,Spain,82.67396133652032,83.855300797627,81.54310063695496,80.7225458024434,80.84540681000543,79.4915908156918,77.97578639278908,77.3214934609862,78.94814984028413,79.9934508373039,72.49144608624425
Austria,Sweden,79.96927033085643,83.55274167325604,82.68627483471968,82.6085765521193,84.5377628962811,85.04695981998785,79.7976458388738,78.34372471664948,76.87725110548189,78.29563380368671,72.26233367435158
Austria,Taiwan,122.0,127.0,127.0,124.0,126.0,128.0,125.0,124.0,122.0,120.0,109.0
Austria,Ukraine,110.05622393785401,113.70529820864132,100.16289582625903,97.9284150532856,101.37483103080092,101.93891887425065,95.73111743551688,95.40743421229342,96.8671842103249,95.86931769351511,88.34451312981722
Austria,United Kingdom,79.12695599542057,84.57454972494622,80.97070251874703,81.18230845924074,81.50413504568637,81.08407559005543,79.73271226898855,78.37400323894796,79.53145921298042,77.89290727912763,77.22280875374798
Austria,United States,105.87839690065199,107.3075509976741,104.56776695855959,102.67895838726875,101.0502084434052,103.36414082347147,100.22090670315174,104.36171576255728,98.03454384596739,105.97137405662549,97.99578725342222
Austria,Vietnam,115.76668413243331,107.87139185710642,93.40210409337244,88.32797210891938,84.8222879038417,82.73144228347127,65.78938808217325,68.54334010400443,73.57713364861583,60.29850981351681,
Belgium,Brazil,104.9988312744234,105.10206836490133,105.77782261080624,108.77366375743853,110.0814083777752,104.2349592654162,102.91945624355088,99.58202657182171,101.63234496556113,102.41144558375979,92.71060960365895
Belgium,Canada,116.18800585350182,112.85819854392733,110.46743680373163,108.59922087696555,112.69661026069629,108.94486057037129,107.02034878235156,94.45367180140629,,,
Belgium,China (mainland),92.24458165191847,96.571916704756,98.58721540237462,99.86412393573987,106.52805650792003,101.65573920906921,98.49217668753172,99.71472733384425,99.38864404113605,93.78536892593058,89.35477151932905
Belgium,France,32.747951793519725,33.270967954537255,32.8531517721502,33.56210541715596,36.75145611185193,34.18484421146739,32.398740078072485,30.381147660004547,31.861997874839677,31.672586848136987,24.72480616641448
Belgium,Germany,35.800725263729326,37.337939290586334,38.209648141230666,39.282714263010554,42.85403493023379,39.75975496982169,37.72255574265746,34.92942091757851,35.89234834996793,36.190800720712325,29.768143332065232
Belgium,India,98.05649492043287,105.9329055683694,97.50988489169255,101.23521370227624,108.6082005079986,106.5882960194184,104.29146818694095,98.11564543768982,99.93055185277385,106.31958091639468,91.90809052078916
