Import_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Austria,0.0070340853611855925,0.01818242167132585,0.010956400646861887,0.004704102931033858,0.06810989608833953,0.029711876874075865,0.059689747617529904,0.056819600118133314,0.06404401311053058,0.06567775530981808,0.06299440680868748,0.10580258356773328,0.08849371347224312,0.12496889617943883,0.09731497211710005,0.04768627047634634,0.056512181538417625,0.022438426006001298,0.008858650105197414
Belgium,0.01759477658202101,0.0073174733138607565,0.036199003278242284,0.06346908515445328,0.045210383410565214,0.08321207277065411,0.1093541081554783,0.0948121098677592,0.09018248994491114,0.1866960833391288,0.08903714171994793,0.05377349465693766,0.04550085897846909,0.03788448732077204,0.019326814290088312,0.007648247672471599,0.0048319807077828,0.004416171489517574,0.0035332173469388647
Brazil,0.0,0.0005361578927591083,0.021033342041784513,0.0035395376254663984,0.021150645803435363,0.030755115921194818,0.04091396229736754,0.10301516769772052,0.16550724138565476,0.11873069081833462,0.10476312410676077,0.10203428587308143,0.08019636688571888,0.06046934065380909,0.05184757870690497,0.03868647795014948,0.02627916390550817,0.017171250638922518,0.013370549795427072
Canada,1.9249460271549527e-05,0.0019326208330293342,0.014894919544606202,0.01329377953219609,0.022045932623501987,0.03018812140497597,0.05063038482149706,0.05935786485460236,0.04639570858654301,0.035869720032896915,0.022922101827262467,0.03212367200156366,0.15286967458704212,0.4300569339719136,0.05381326454687721,0.011739272245743594,0.007209077497178456,0.0070316148743716006,0.007606086753926937
China (mainland),0.009659221714117237,0.029579457510478146,0.06830106884824692,0.05067165862762356,0.08955091615515089,0.05056681931036624,0.03851132382028257,0.060863399745975294,0.10673581154420601,0.10729995838479718,0.1580282781197384,0.07693853186668434,0.05150712069644152,0.020523937077868617,0.017068954289732506,0.029935710333968055,0.01299947551631311,0.011773085975872457,0.009485270462136958
France,0.0009453070348242183,0.0034036584873938527,0.005973703682562355,0.006639580770947878,0.006617714006062269,0.016151078214154162,0.045895139524197354,0.057716978470974865,0.08808303690353844,0.1233578304718212,0.1451855598819548,0.15764878060861032,0.13702092897323132,0.08016320666799416,0.039634485350754055,0.03680185877888331,0.029070328507466266,0.01603560585199414,0.0036552178126351195
Germany,0.003320004513457113,0.008540407317577898,0.009254310019456535,0.014559160177603602,0.019879603846891282,0.01801808620298187,0.02994014701125559,0.05339313282555767,0.05042923813114333,0.0993064891547417,0.1543938552873983,0.14649096981072562,0.13738323503326502,0.06603516667762799,0.06512377172934879,0.05690107655914966,0.04013861680499394,0.014447144724176242,0.012445584172647838
India,0.003922842786197916,0.009552144946665134,0.0038287608073511517,0.028833670461203314,0.024959408976812317,0.04774848913306701,0.059723208860466934,0.05287605825641964,0.09681980284833665,0.17766357372371028,0.14061697616858762,0.09922676434426271,0.07053084743912567,0.06803874638401736,0.02908476526912204,0.028527527306066787,0.020350499729894913,0.02096643707049795,0.016729475488194645
Indonesia,0.0054508227152617215,0.005379224164026703,0.009650889694836642,0.044361149588817574,0.0841370868223198,0.10870119861087953,0.12636039115153655,0.11478977950390605,0.1352746097092199,0.17852189096733523,0.08476253905010632,0.04042249664685099,0.028718450390928667,0.015122625379288043,0.006395100579947688,0.00579768712890002,0.00344387503995392,0.0018237813556818629,0.0008864015002027989
Iran,0.00173593509414702,0.02497926683057753,0.07001863588501249,0.09157194742201716,0.07810174592544444,0.024952870293919908,0.08132232071286785,0.11354744644863961,0.1312730602393838,0.0995196181275072,0.061810600531099984,0.05952777767729365,0.0690707352149348,0.04742336101449231,0.013943378425293976,0.01327026538162148,0.004258679553559572,0.009267787450565428,0.004404567771621673
Italy,0.02591571907842436,0.012906931642226888,0.03731534526542044,0.06280580402848868,0.07240708465285317,0.10863021413864075,0.09185868903813171,0.07304763990045286,0.06930730079551715,0.09011972010498875,0.07661583842097813,0.0812640803687565,0.056861367944723545,0.04283417129087441,0.03417265838338827,0.027376598664656956,0.018622589006475985,0.010290041876455977,0.007648205398545455
Japan,5.086546661732029e-06,9.537274990747555e-06,0.0008473982065496553,0.0020262066670427184,0.0011318030166966014,0.02346303128551965,0.059762820791278995,0.08425692648706726,0.27477072450293727,0.10617959526267583,0.06061366659764367,0.10581720226662479,0.08158540495483493,0.055473475451263736,0.04009982224560832,0.03389891386341536,0.031755127202904784,0.020171715820936915,0.01813154155534704
Malaysia,0.00018321505325452858,0.00184054073293967,0.0019053190698455694,0.0045100081663300585,0.022267427260531224,0.050568897070928265,0.06079426569335978,0.09999959291873489,0.13446538945540265,0.15081576991403328,0.11441397765492767,0.10475082091202843,0.08167507483819511,0.05042566061017826,0.032914969525986784,0.02681963507389264,0.016720331509649945,0.027087177187037365,0.017841927352743783
