Import_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Austria,0.01426959745269469,0.015323451173194337,0.0142563572167164,0.013694713492495217,0.015294757716566132,0.014820344168955717,0.014257822695293429,0.0135839762529754,0.015532274933392085,0.01506329651810119,0.019053993459709394,0.017076115003224812,0.017504611746251546,0.017315634250514234,0.019976599935165734,0.01905572517329476,0.01634564971660144,0.021198755766915614,0.018433224656768832,0.017220038613849277,0.02044810347536361,0.018300615394759717,0.018605454722034797,0.015604426513403538,0.016365042077005072,0.01580354859526311,0.01722028802950826,0.016251835021051333,0.01731084245952711,0.013903394212767302,0.014946703635252344,0.014776323568061507,0.015549289749928454,0.014117361743181886,0.016078570769597785,0.0176879280421291,0.020356921134564995,0.025685505904297586,0.02107001762888783,0.016629128319697012,0.02006965858377191,0.018271102588307237,0.014541520149987164,
Belgium,0.027761015244919356,0.025743453859789784,0.029914774390046014,0.030037053811684422,0.030226477084817228,0.030363108085716004,0.03309502866640635,0.03111903010259315,0.03004997414318446,0.03556813860847831,0.03760307150674509,0.03444492313590691,0.03213073682631922,0.03852384786876973,0.03492041040539852,0.03788556727484948,0.043304966043013364,0.039011119220629845,0.03456677750857295,0.03718529176327785,0.04254978768421203,0.03983388945854938,0.04033735869976215,0.04260558740814825,0.04302373794503391,0.04386164004344036,0.031279265982716,0.03803948069795831,0.04153746725693841,0.03508568921557033,0.024040689431947714,0.027598126713747808,0.038610916707488896,0.035012242447464266,0.05469126843990231,0.045770282081493495,0.0399226031298495,0.03050752777361102,0.02658562008289215,0.028171601002297098,0.029046108524830118,0.03366734729301136,0.04177243642868015,0.012342358069282187
Brazil,0.009635694303512002,0.008963493123323361,0.011423813613654703,0.009304560212108867,0.008515032705690248,0.010967169783519566,0.012383387585811147,0.007663672551541135,0.01133132428200699,0.011308847660977986,0.010904307435826047,0.006589665531149425,0.005690546540263393,0.004297433255419802,0.005533072681032435,0.009889198769772402,0.005578718263767104,0.0059076301313149985,0.006628191820042053,0.004740847821613552,0.0051698821304505885,0.005401182268021288,0.007552128513472932,0.0046966843575818795,0.008025015344148706,0.006912228950153534,0.006727864373399244,0.0056045115074439275,0.006713116119648564,0.007503153205575288,0.0053274794972296684,0.00628064617021266,0.010312456872249735,0.015305826344413936,0.013278216021721485,0.011660770968913804,0.00992551656134625,0.008242669868770714,0.01106006066027833,0.013011026392924679,0.011513712889029231,0.01350590195576887,0.019233470653637313,0.07866239100437794
Canada,0.025794479412229943,0.022708372008315537,0.024709941395952197,0.02285671024795452,0.022785555540608484,0.02615835670777366,0.028027688433384084,0.024326590323871494,0.023580194355316567,0.024521361027711158,0.025387914157785216,0.023677825428959312,0.024526235303967456,0.025551266749920545,0.026010229054934067,0.023661335860806876,0.02380535450338145,0.025666172642387693,0.023525910509478255,0.020314325369803588,0.021995196988608978,0.024848950095870504,0.024022972697669256,0.023261642332117746,0.018340663376953455,0.018664959226696698,0.018958131970630197,0.018297699973237314,0.024692373609744484,0.016669347141993338,0.020426227761668678,0.02561156733146062,0.02395686881721986,0.0268869378936825,0.023661877256605065,0.023395542431386397,0.022461940191420855,0.026271741528570744,0.03062776679372613,0.02550261034460784,0.024760669644556477,0.03182664307769008,0.03254486580803126,0.033164204215766296
China (mainland),0.07512331209241145,0.07297664020668529,0.07240314426384027,0.07504042237558907,0.06596840741142339,0.05580286571868265,0.054496822991267284,0.05492208585431242,0.055142713143476955,0.06100375194495676,0.050509620243336155,0.05471237328528899,0.06901237362713027,0.06625268741880197,0.061570500794539844,0.06841621216912207,0.062401969010367535,0.052865775060673886,0.0630380134410168,0.07930867471733913,0.07750070853776532,0.062275077278171005,0.06661277146176957,0.06557105656886143,0.06050249454628867,0.05300445864617894,0.08259032735505728,0.11850575405488653,0.09744200681971621,0.21869257046249213,0.27812280048277677,0.19318260257881625,0.12983734662873486,0.15466448470528327,0.14163688465871865,0.16696608672307986,0.10311363569336054,0.056333585403616195,0.06689967757248295,0.07090721891063496,0.03822332891981271,0.041763958508265114,0.053185255785629,0.09510736809882248
France,0.07595344282967507,0.07051830701021236,0.06448244713179822,0.0652306467397753,0.06810382871506007,0.06509737713112772,0.05592758157130123,0.051277951521047346,0.05704154303241569,0.06409955130936389,0.05716790017432852,0.062388195143922805,0.07337567826958073,0.0681564946647921,0.04936535706755199,0.05556159777627755,0.05723224629562673,0.06000696505693266,0.05221863814664985,0.057887573643865424,0.060262345923184454,0.054647540694204744,0.050984428190020026,0.05352985249797904,0.057768540138129036,0.056407964011839944,0.051492432657772404,0.05166804120388098,0.05642726399979697,0.041805292994684023,0.05075832325311317,0.052343156509382295,0.050978501234190274,0.04716713198274864,0.03681293384623616,0.04728353196529998,0.06315423128489113,0.0651424467453582,0.05093913699081716,0.059561256510276335,0.06792504001342113,0.06346230390683312,0.05963572299800945,
Germany,0.10225401099233342,0.10000432114499512,0.0991410694387058,0.0912373329278858,0.09886932431304768,0.09156311808794587,0.09368080736891347,0.0900017701966619,0.09794676240527837,0.11191617434842012,0.10831112052882697,0.10146519442964021,0.11194586061098681,0.1089216713157848,0.09885409632822499,0.0996714896784324,0.10359325519797737,0.09840137841012067,0.10681988999390313,0.09865873035109925,0.10241225980127959,0.09869074612614023,0.1004281546938315,0.09132685474502836,0.10080044329511735,0.0903453875468304,0.08682274317210482,0.0791221868041114,0.08808719620846976,0.06914689738425003,0.07632431923058171,0.07728758260994276,0.07861582562552263,0.07072956380174583,0.07306928986010255,0.07776562443123133,0.09124513998148441,0.08993082643346445,0.07835410754778328,0.0921392749359785,0.09196210481191071,0.0871871684999462,0.08754666267368645,
India,0.03333808066621552,0.030250210363851514,0.03401795320463056,0.031491904823811936,0.02850041958139592,0.0337608438947215,0.04167909552067635,0.03933807416323967,0.03732511830917362,0.04070021313891124,0.043352037728879876,0.051792257889082254,0.05058201768648881,0.036119249415697295,0.035019230794843266,0.03219846859523062,0.028042462124266126,0.027289991225231243,0.038360759677695415,0.028661663575050324,0.029805289581405128,0.030738383092055465,0.0365563470061428,0.03488648190546131,0.036059264376252585,0.037099898996973225,0.04883375856839126,0.03466607545124229,0.034874113060192904,0.01667871277377663,0.026777867838778172,0.03170966272915704,0.02762814915439481,0.0231679991642697,0.020856966719666945,0.023681718412764504,0.025925874786562997,0.028388841345802256,0.04454553605231401,0.057210548113604,0.051692955683951186,0.040966074351894005,0.052258894142899366,0.06642860905434464
Indonesia,0.04311093521865801,0.052868798895318626,0.03535102952663347,0.036164365264713255,0.030710831840427468,0.0370884622637269,0.029714061165810927,0.04594663256145162,0.04457159761620746,0.029785387052348025,0.034452124575128515,0.05512488221348257,0.043182522317742646,0.04863892798471462,0.04284276845813004,0.0500652879205288,0.042758631372347054,0.039987184502457564,0.042148999117120105,0.04984267655055939,0.04161947619961582,0.033459428578527725,0.04028209054113771,0.056725088300455716,0.04637545043335461,0.04423792731237006,0.054476755203188905,0.0622371837760714,0.05417343853984765,0.02782901501920408,0.029293850508181393,0.044351332788633534,0.04346907839815177,0.0313326030573056,0.03579428962289649,0.04112671497607656,0.041761998794222814,0.0432076629382638,0.04983540353458947,0.053747735067758796,0.05093676863026288,0.04093348458560896,0.047150874590127845,0.02876433390195393
Iran,0.016519341851955794,0.012079076019629442,0.009575269482782566,0.011163623169290031,0.011724794429068455,0.012819870338702763,0.01728637145188012,0.017770235853302636,0.019701638338252517,0.01606125538322806,0.020119001047645427,0.0277232419247671,0.015159599778005371,0.011356418045478302,0.013791765823488723,0.013785885484855622,0.008071259703339271,0.013202368477026617,0.018912678821674234,0.014167223979719727,0.008746256316848706,0.007554220545271194,0.004483024117295838,0.002884596294317324,0.004007202052289194,0.0020266761284090076,0.003046095339664611,0.00298669727318385,0.002186274377441521,0.0027241333376691857,0.00282262863508723,0.0017644868670783306,0.003315894489394548,0.003953873431209814,0.0024299013559645373,0.0020659515438008636,0.002378504444237021,0.0014352178837445254,0.0026918609122914086,0.0036705161916105867,0.002883403481846481,0.0040137716451825066,0.0044503381929657275,0.014279562927534819
