Export_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Austria,0.0,3.5545061486773387e-06,0.0,2.6648639994433098e-08,8.960968747431759e-08,9.380923197136056e-09,0.0059529736544414865,0.02324363871132687,0.04423669992764868,0.11458641220294104,0.1457493014407383,0.2268924259480602,0.21136783708226858,0.07053272966484594,0.0569089780793218,0.05722775866461583,0.021161806982065455,0.010154325278406769,0.011981432217919736
Belgium,0.0002207504199971489,0.00037341093758255626,0.0005401907350187458,0.0016552608253005336,0.0034847519509657696,0.005880939090730997,0.013740428617042612,0.0229645058096537,0.052659944725209934,0.10388966196192205,0.17799449330243663,0.20508846732590758,0.17223531024754415,0.09424395065393415,0.06617486501079166,0.03649076359090148,0.02202465482267464,0.01459219452627402,0.005745455446111496
Brazil,0.01624046191461533,0.030183697072502156,0.08722489476344247,0.08750185720671233,0.1316853370988394,0.1477696980427556,0.18681765388816624,0.11685875364438947,0.06829694324583974,0.049965050194481685,0.03150649580632606,0.026392633166396368,0.00817573305395736,0.002781355523556197,0.0018579811599517217,0.0020390669581607846,0.0019818786578344417,0.0018972643822334802,0.0008232442198390693
Canada,0.0011023717652254848,0.0020210696683431186,0.0008240781629082309,0.00465330959392958,0.008543602049933477,0.014333575059076146,0.010132432721952923,0.05901526530229725,0.07579110592491699,0.1828399294652614,0.5753424015938178,0.03547107203843938,0.006560522993786093,0.007324514358050755,0.005041920368036573,0.005020284915687808,0.0032996175709891894,0.0020132517663597367,0.0006696746809880496
China (mainland),3.7713882489382535e-06,0.005816067165040044,0.015754141966547362,0.03484478587654178,0.05739759586728233,0.0578308818208965,0.08111099124171248,0.1267792555268802,0.12996288243785326,0.11429084831316423,0.09395635072271703,0.07417216659786867,0.05333021616811818,0.051776550396246145,0.03888046660820015,0.03467221449855152,0.016264104673416005,0.008477132571808058,0.00467957615890721
France,9.264642742693428e-05,0.00014023072435266339,0.0004587547290315255,0.0035451656639517277,0.008328795019284019,0.048100764585719546,0.09024302623538537,0.12176004222818818,0.15193132917986704,0.12434017600434612,0.12562448397145107,0.09439820320023024,0.08294265227144074,0.044264198637861886,0.04257171990066796,0.024882739653687248,0.021059976472884708,0.009774686175329903,0.005540408918893116
Germany,2.689248625042938e-05,5.971947495895356e-06,0.0002589122082556765,0.000580028930669704,0.0010019299981204588,0.00606449408638081,0.02096759412025573,0.0338079904744087,0.07610952751726,0.13925067207427533,0.14809563347437468,0.16258537655334845,0.13152507988556866,0.12308824348607961,0.06715085361486384,0.03792070073510038,0.03234931434787325,0.01398944328586056,0.005221340773557755
India,0.0005516578839069579,0.009865219913864678,0.02110367777428229,0.06482571739939426,0.08909881532137437,0.09267587410750344,0.12790456910695797,0.11995713003833211,0.11079347227381069,0.07514415935404085,0.07119812697675032,0.07056788874182365,0.061309182526585224,0.034062635533730894,0.022156083297463446,0.013414657746750693,0.008110809500043,0.004555997229446282,0.002704325273938848
Indonesia,0.003918707725787687,0.012223169715166132,0.012256992024597615,0.024298397914076765,0.02588239487401538,0.02660478248172861,0.0626792393478421,0.03146455962911748,0.03881103285191318,0.053823240266536954,0.03365968688046193,0.04493525266231011,0.07033929067177808,0.024381306922324188,0.09335692981694467,0.15437832279852226,0.10645239730169571,0.1063176852356112,0.07421661087956995
Iran,0.016029853750016042,0.09873520666000643,0.08231042686887663,0.11774343401574744,0.185450633483631,0.1974592812392037,0.12577995367770922,0.08980489812317949,0.04208916916443223,0.03198046738471228,0.004337521516636365,0.0018082743885879267,0.0024311876267094044,0.0018188255971087056,0.0008599426756322637,0.0004921634541867003,0.00033128496658061724,0.00015807574460301727,0.00037939966244048917
Italy,0.0,0.00013762343012894862,1.578340020686163e-05,0.00019828982475690991,0.005190374341932435,0.009028266647060327,0.014038604015130537,0.01286718637706649,0.042636585755890716,0.09008262710921747,0.12521936022900154,0.19843691417635048,0.1338246661587594,0.1137713642941271,0.07630270278368972,0.07817334960669073,0.06301974460355556,0.025364400029505615,0.011692157216929087
Japan,2.4122331884950027e-05,0.00028393837423500563,0.0053860224588395044,0.010111262450762258,0.020566498897926656,0.05981965618688342,0.09925178453725066,0.10440149196990738,0.1557267763547009,0.18443240447935197,0.15289304296462597,0.10752073902704762,0.044742443097795064,0.023866631698176686,0.012822488456359856,0.006687272950521106,0.004395969017222655,0.0041423606547645615,0.002925094091743874
Malaysia,0.015053151292730845,0.013679532579539312,0.016032032058183678,0.08777263385714391,0.11488027479211009,0.06855614873241135,0.09732464376513625,0.09293045834567448,0.12655461946467478,0.05777903569594315,0.051387142729105516,0.07218727414459392,0.06437653714466976,0.05040896964301402,0.035096634007984136,0.012192144968968935,0.010113006509546567,0.008977103495464935,0.004698656773104466
Mexico,1.4471070560176221e-05,0.0001134886835351611,0.0014869334578586448,0.0052419606115026995,0.02190849563921619,0.0153253569239803,0.10039197698668394,0.21820683828722637,0.18063835876766224,0.14328204469109,0.17375352986563014,0.06267318301737901,0.05533857224031628,0.012977686127098835,0.003729885701653524,0.0015293589420065205,0.0013907704499148321,0.0012942529508022718,0.0007028355858828038
Netherlands,0.00011522263117918149,0.002404811704631945,0.00126327094544917,0.0021457743071455117,0.0020110982464100154,0.010449915821001111,0.03168826364768307,0.06782393534786364,0.10137355191205752,0.20573478259103167,0.20028244436402623,0.12477312743644747,0.0910823667837499,0.06886783937973891,0.03319147879737994,0.024139415350230935,0.01873380663101341,0.009500867787672554,0.004418026315287822
Russia,0.033047529617529534,0.04420421660078088,0.07725219242948426,0.11378789197226054,0.16141071285015227,0.182824439448358,0.17284210757076005,0.08988017886050359,0.043196117032799165,0.04495743306059051,0.019543116728684834,0.0051665485202796015,0.004749963769418485,0.0028447963588819412,0.0020571337640883903,0.0009060266501498244,0.0005722823755084619,0.00042988660153427745,0.0003274257882354201
Slovakia,0.0,0.00010411066157340582,0.0004469522837519647,0.0006106484616577356,0.04234156817789354,0.015348924944962407,0.042610619779692736,0.04494003233700592,0.06390025615592791,0.13458757156501513,0.2273896503880652,0.19114155809656194,0.0895912930326072,0.0774052760526358,0.04891075560824984,0.016530616007779633,0.0035101437442322148,0.00048275129242187563,0.00014727140996566377
South Africa,0.012604877483696314,0.020602563318019847,0.020489609238103952,0.028940261416089966,0.045190435710655966,0.06588105160064145,0.06988261593894346,0.09301843561487477,0.12026250894128744,0.09487009854736642,0.08963386741561827,0.10321549555181071,0.07238526453486226,0.06051093062796792,0.032027818863624075,0.02525598386958149,0.020016257814251717,0.017316103968961192,0.00789581954364268
South Korea,4.522387459997613e-05,8.757195486253011e-07,0.0001843075294171513,0.002570241568465659,0.002039616148731001,0.011048876114093154,0.03691083945251094,0.08246795101616117,0.17160066881304983,0.219872217834615,0.1673038740483211,0.1238649079081213,0.08740297781433125,0.0473939329863515,0.020251320940654047,0.013773909892849965,0.008420021230651609,0.0034089230799220624,0.0014393140276047992
Spain,0.00018203262139511017,0.0003685089117903662,0.001830773812953804,0.0018707381345861166,0.009064990828025355,0.01538888653490895,0.019834250717145473,0.036822169219965305,0.05703008520927648,0.07837303733152941,0.08025336436734037,0.13540722978691366,0.13408782214208692,0.09518219426189817,0.08080351624494879,0.10554094619800183,0.06529994365833834,0.05100275718196227,0.03165675283693319
Sweden,0.0,0.003431702288748402,0.003480463579264707,0.001913492115063466,5.592955404730358e-05,0.002610685795645645,0.02024716843813566,0.015088303896859206,0.010434763577827294,0.010274015749868198,0.025980785579240436,0.038118076424133174,0.07117896910075074,0.07994026034725431,0.13865699827441938,0.19359340402345293,0.17846868769367677,0.10942273721342588,0.0971035563481865
Taiwan,1.1540443700847066e-06,0.0003812761249893154,0.0066273022899185985,0.00697173006028717,0.00935192319410267,0.01656955047497045,0.06489122381430776,0.09616526170011191,0.16379188994337462,0.17077687401190733,0.17113867757896425,0.10565011148009454,0.07174374675510535,0.0506692920051151,0.023735942663971388,0.020957112868552487,0.01163623938414018,0.005277173221755586,0.003663518383961204
Ukraine,0.027299644132095992,0.04415172176276688,0.07336002493471713,0.09863835678374962,0.12637781907083423,0.20670395182824536,0.17098500020204765,0.10476371290586467,0.051781063244256374,0.03487317002819937,0.025621225324597995,0.014308338494550986,0.01017043820150964,0.007399802347073749,0.0019224501507125646,0.0006920836270690554,0.0004756348181433956,0.0002958941309943503,0.0001796680125709569
United Kingdom,0.0003859030589788153,0.00021319986471730613,0.020009228934445518,0.06329405949421012,0.03432625434621983,0.04668910830380111,0.2034142411540721,0.11515868047087252,0.10040138687140152,0.09466349001241482,0.04317802658390734,0.04223235735768073,0.040722043376798106,0.04111788951119812,0.038698305981930976,0.029501757380185227,0.02793415292046142,0.02863817082295546,0.029421743553748814
United States,0.013321996818556238,0.018347406988579194,0.016062777985787424,0.019675318281778018,0.013824968923132395,0.016318526581328402,0.022725012881309365,0.015611365785573006,0.008705122456492543,0.022570132049190016,0.09277654515005895,0.12762359732867437,0.2301990153234437,0.29899495421907357,0.052783304304134374,0.003636775103704184,0.008039591469393093,0.007910742991570074,0.010872845358221094
Vietnam,6.60291281170246e-05,0.0017595368667679566,0.0009237398373635621,0.003001520602470602,0.12256882496383821,0.13469625734956092,0.09416748544444392,0.11708774473219906,0.18466698965457903,0.13979266991036063,0.08133858214354313,0.03002041969872154,0.026758707052896444,0.03029991404296207,0.017806920105864668,0.0060493834490566575,0.005764237888353616,0.002470053004093491,0.000760984124807404
