Export_country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Austria,0.022072100081962417,0.02125397662451048,0.0214810048377925,0.019337226823050162,0.0208961096017417,0.01793797863275389,0.01701375763051791,0.017111150644053188,0.017000433778267925,0.018732725208924154,0.017614813098172696,0.017652080942018197,0.022157535493834733,0.018898846190829443,0.016344419271748817,0.017040245476660415,0.018801250403323484,0.017985263672572596,0.017655777260660796,0.017055059373970352,0.018177906267928524,0.015895299034382325,0.01502297320682921,0.01540039611980099,0.018051013744221023,0.017938493927811838,0.016449403420284416,0.017325531737149607,0.019236875690466306,0.013843376878942474,0.01668740050239262,0.01732308215092709,0.016668007730273802,0.013715578719223812,0.011823019808729815,0.014301709247286945,0.01884776291220795,0.018088017607711965,0.016817577542264244,0.017197995710532234,0.022952913070258076,0.018612829039001952,0.014158657677119844,
Belgium,0.059215852186980056,0.051252352590251564,0.050485322578748215,0.049503183481532084,0.05149724484831816,0.046632071105404106,0.04354829731457332,0.0408938877348745,0.04464703751592036,0.05084845594527524,0.04542712998771744,0.046462282982076816,0.053063498434398435,0.050451814946383386,0.044500215692603096,0.04800743989727841,0.04889133557199388,0.050036142251965815,0.047910463009322765,0.050963679954331514,0.054113727933167974,0.04940492427389377,0.048494831884483176,0.04995274081917756,0.05438435218746964,0.05085297539016344,0.04577009400432206,0.04677429147236888,0.04960510570983762,0.03715038909732578,0.049436801898958924,0.04449882155962649,0.04144272093172034,0.036944592898160364,0.03543479250110073,0.044936349752918436,0.05659122030289216,0.054339260123574325,0.04478480778810175,0.05061989792964359,0.05489975465494404,0.051668439110404224,0.04664159187347437,0.0014836777172715216
Brazil,0.04864429159287646,0.0391826286150784,0.03824061549079799,0.04667416903298187,0.0351443924730719,0.034229002682914164,0.04811094736430976,0.052013140510140075,0.048369694886318995,0.0440447613210719,0.051387072456757464,0.04679122305303213,0.038555609274262076,0.03827127464144894,0.049077444141845096,0.0473169552829653,0.052115033294242594,0.050217512505769835,0.050676958098772665,0.05411489993023785,0.04508905877239989,0.04288385067383111,0.05048964423495459,0.057153247680295304,0.05838790998981187,0.052603122098007674,0.0551756304070776,0.04680926985910275,0.05364202502112674,0.051881303573380264,0.049360670004887634,0.04353832361960762,0.03763229605014545,0.04404248703978123,0.05017016737991686,0.04662311096531704,0.048494323914279845,0.05302200192411812,0.06100667278172377,0.051894146358953314,0.04913013327257998,0.05803718564125601,0.06850138984529769,0.10086730016840045
Canada,0.014661989036442368,0.014258317508885872,0.014540494529363724,0.01429718312913864,0.015546657169601399,0.01593701624672736,0.015842238043605843,0.014049428353849112,0.013969566627696706,0.014344850122602408,0.014557672898858384,0.014897542905922132,0.016645953660924792,0.015338899974189335,0.01553395067091971,0.01406052853254671,0.015408939092334505,0.015332206693411253,0.01505663942136029,0.015055554672946139,0.015472774685688946,0.015688300883124277,0.013125174805518119,0.013108543976530895,0.01252687738281705,0.013687996630759258,0.018037732597981866,0.017787183897297523,0.018303882590118222,0.013991767852763598,0.014665985522856202,0.015567455420512164,0.018600839257934713,0.018651055610796507,0.018050135266978608,0.02190379534189957,0.024174846213205578,0.027012026703592942,0.025374769053466213,0.025687724570469823,0.02397926634610569,0.026779135425168535,0.02528655638210881,0.0007884209590250872
China (mainland),0.09370287493592011,0.10217113242839501,0.10970577751294733,0.09734324327463299,0.10809495785583444,0.14709617424638805,0.15967250459607768,0.18192802904076857,0.17258168683286487,0.15099464964820022,0.19213581494501547,0.19575734211945842,0.18116676321728498,0.1822529395321418,0.18393116786252656,0.16868261831253925,0.15060991346513591,0.1418614593804212,0.14638838214365438,0.11735666418470936,0.10812842504397693,0.14012316119614449,0.1216250497345735,0.12056448053205251,0.11032051059305417,0.1153180811489116,0.11554442725681614,0.10718445082071439,0.09833953040930256,0.12762830279967494,0.08564653965289379,0.10563525948985276,0.12870297416454193,0.14078759001768498,0.11793472944995403,0.11246493588919276,0.10658709687643962,0.1474752028761543,0.17478390174127312,0.13927859460211162,0.14094933971619386,0.14985625683363574,0.1582867249612823,0.32991177798629806
France,0.04166235249230138,0.03738770236300204,0.04189717823015554,0.03961172468715032,0.04110422005075155,0.037669658019287906,0.039492346364512765,0.03736796447772443,0.03718364028598603,0.0393489454219138,0.03700186248462308,0.03773722792210405,0.042126512691851796,0.03872475000358076,0.03350843664229879,0.037953578913741126,0.039029030159200374,0.038985708425116186,0.03917030451508561,0.03803568002448863,0.04049847658946827,0.03883918541503116,0.03718166418711623,0.036852131029540026,0.03806122697234597,0.04154372349673603,0.03939406448712652,0.03841109432573843,0.033688910942794574,0.025889166689812053,0.030656254771807057,0.03408591619506113,0.03911721476462013,0.032362086157098555,0.02918653650465497,0.03408928022677536,0.03710085659620031,0.03864868958389397,0.03406326933877645,0.038090588632096474,0.036484197804398544,0.032786823757915654,0.033640135123633584,
Germany,0.07718409601141916,0.08105046718760368,0.0756477543188471,0.0733552805489916,0.0760396573120612,0.07316331729998703,0.071126790907418,0.06738943317228666,0.07132338780566183,0.07754869989966778,0.07314776144421425,0.07386864867311523,0.08272124926720387,0.08207128523293512,0.07176814883780779,0.06986481567406473,0.07433544415811037,0.0747160589199584,0.07344692943179243,0.07231249802457441,0.07421742700599716,0.07160083291886997,0.06908790791271974,0.07116648914059046,0.0764428415839939,0.07606051847223377,0.07387019194171097,0.06895352872922261,0.07714210558449688,0.06486527202241782,0.07622143582285487,0.07594357177372361,0.07387369321494887,0.06165715715233347,0.054806169645079096,0.06584984985409793,0.08384527090352295,0.08835154180988164,0.08554167967333565,0.08830926143609931,0.10102217740956228,0.08605004524285159,0.08690624399694419,
India,0.036192386934888056,0.03648634872966231,0.04055296182090034,0.04629530668097686,0.04030440759006813,0.03376432485987831,0.037493093197185474,0.034380993058154896,0.031208016276066976,0.03198534556476686,0.03073523784008623,0.022018455334931405,0.025573114807515913,0.02551008730505993,0.03292225657505474,0.03979209637819843,0.04068679590908177,0.04218827048324226,0.04426080431705193,0.04813261623012997,0.04064460296308575,0.033824182196835556,0.03631945759266433,0.03383387248326923,0.030245514702413982,0.0326234633081694,0.03505890906282573,0.04642214970839873,0.03798752836078044,0.06431315545945204,0.07172587723086038,0.0463636206158172,0.04221502879319778,0.05227777298397361,0.06826880763426174,0.07044352036251877,0.05913351457167937,0.06874732636600378,0.05988810384145118,0.041735699520476295,0.0404078291185565,0.05125766777538552,0.03730891235002481,0.014785720500858772
Indonesia,0.0007535290791145658,0.0011219870550136961,0.0004849351613587479,0.0010106047267366147,0.0009346161743035577,0.0026299292422906104,0.004634679248118273,0.004373564451128423,0.0059119485908944325,0.005944485646608236,0.004445432785332959,0.005222159006063753,0.009089633064315018,0.012771594035248768,0.010442224052387702,0.010691424030030688,0.010334948934703258,0.005947234992327485,0.011711845590159758,0.021594224129126666,0.02702274947764123,0.02415969029917709,0.03478274044449665,0.030476927093474698,0.03523198636027222,0.028692495668041496,0.04312876071235127,0.034387454583004545,0.03412000069128951,0.053879615396038714,0.05320692253559284,0.05730618811211019,0.04843196992593811,0.0705975995994618,0.06611572474148723,0.05630841201361228,0.04782004464522133,0.027580384340409516,0.05254004792161941,0.07232478379864749,0.053817408756564745,0.061086500962313266,0.07332179553478618,0.005381171776814126
Iran,0.002040679408269731,0.003978471468360229,0.004210306464033816,0.003841119566539425,0.0056139634333543815,0.006773649539111053,0.008220008242989824,0.0047190797529277455,0.006191102889245063,0.01063501722008891,0.01062048265826019,0.008220836348939135,0.01841726863382939,0.01664655963698139,0.011246276988620173,0.012945815490428036,0.011182177271623187,0.020641301543513426,0.020906801730284877,0.016312857977574504,0.024749422561532498,0.01757659531937411,0.020946937223180653,0.008963641934759528,0.007642742757639128,0.006282446658298421,0.006411661944979071,0.005489458073118763,0.008022096285688812,0.006258297666050576,0.010691510970796271,0.008797355763025577,0.018020656963003933,0.011252569397302545,0.012359081759240389,0.0047000837037310525,0.011235213998160227,0.011779485615941653,0.009157070272458734,0.01612173788422788,0.014678043294388975,0.01244681920954129,0.01761219365976207,0.07107163470443141
