Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Price
"Areas, nes., Spec Cat, Islands, Other",Poland,12722531.659719348,12460.123164803283,1021.059863650249
"Areas, nes., Spec Cat, Islands, Other",Portugal,36501.12109375,72.0,506.96001519097223
"Areas, nes., Spec Cat, Islands, Other",Qatar,70305.30746722226,37.32428987767375,1883.6341614975172
"Areas, nes., Spec Cat, Islands, Other",Russia,2114018.2052326202,1778.366766191569,1188.7414033044824
"Areas, nes., Spec Cat, Islands, Other",Senegal,2311998.2619628906,4158.85,555.9224934688413
"Areas, nes., Spec Cat, Islands, Other",South Africa,1462287.4133616677,1385.7349098270388,1055.2432525093734
"Areas, nes., Spec Cat, Islands, Other",South Korea,46440.0,45.876000000000005,1012.2940099398377
"Areas, nes., Spec Cat, Islands, Other",Spain,50688.0693359375,45.19,1121.6656192949215
"Areas, nes., Spec Cat, Islands, Other",Taiwan,6178664.0138855,5957.098673996264,1037.1934983814194
"Areas, nes., Spec Cat, Islands, Other",Turkey,264705.8271484375,315.90900000000005,837.9179673527423
"Areas, nes., Spec Cat, Islands, Other",United Kingdom,219805035.921875,153256.009,1434.234372642935
Argentina,Australia,1105485.28515625,522.4999904632572,2115.761349920999
Argentina,Austria,2198.463127136235,1.113589753954563,1974.2127828754587
Argentina,Bangladesh,1301845.8894042973,2760.608,471.57940910274016
Argentina,Belgium,13567656.509792328,11192.249480329512,1212.2367834667746
Argentina,Bolivia,16586283.593490612,23138.555068419882,716.8245184042635
Argentina,Brazil,47844957.0,43542.2594262347,1098.8165894572958
Argentina,Bulgaria,196357.37109375,117.0,1678.2681290064102
Argentina,Canada,33815757.8984375,57283.753,590.3202239287202
Argentina,Chile,19988322.8546393,25784.165009128767,775.2169925829487
Argentina,China (mainland),17792.84006500246,13.441319976806643,1323.7420205533742
Argentina,Colombia,2050320.71875,3996.264,513.0593771457541
Argentina,Costa Rica,3431497.703125,1792.44903125,1914.418565493032
Argentina,Cuba,6860.900024414061,6.367450103759774,1077.4956870667775
Argentina,Denmark,590002.423828125,355.5,1659.6411359440929
Argentina,Dominican Republic,5038005.5,10106.33,498.4999995052606
Argentina,Egypt,79002.0,48.0,1645.875
Argentina,El Salvador,36103.4599609375,22.0,1641.0663618607955
Argentina,Finland,519138.2421875,240.0,2163.0760091145835
Argentina,France,3200022.226379395,2342.850884689703,1365.866793866917
Argentina,Germany,2112926.500366211,1280.8560953379892,1649.6205218187738
Argentina,Guatemala,4513726.0,2842.971,1587.6792271183913
Argentina,Hungary,29.308500289917,0.0209999997168779,1395.6428897644928
Argentina,India,1150888.8052368162,2301.9629999999997,499.95973229666
Argentina,Indonesia,865843.0,460.0,1882.267391304348
Argentina,Italy,20927367.71789551,34579.756,605.1913066678525
Argentina,Japan,25836.599609375,21.0,1230.3142671130952
Argentina,Mexico,119336017.92675781,237256.94847999953,502.9821832038681
Argentina,Netherlands,10266587.390625,22433.64800262451,457.64234998355647
Argentina,New Zealand,5517.8720703125,2.402,2297.1990301051205
Argentina,Norway,312933.234375,136.62,2290.537508234519
Argentina,Pakistan,6061356.407089235,13374.932219999313,453.18782236711377
Argentina,Paraguay,139177610.85933548,200318.46966811572,694.7817197781244
Argentina,Peru,4465213.826637268,5075.655039934043,879.7315403639591
Argentina,Poland,1273904.8072814941,834.002220498282,1527.4597308870334
Argentina,Portugal,58.0985984802246,0.046000000089407,1263.0130079848348
Argentina,Romania,37018.92578125,22.0,1682.6784446022727
Argentina,Saudi Arabia,207600.0,114.0,1821.0526315789473
Argentina,Slovenia,26358.333984375,24.0,1098.263916015625
Argentina,South Africa,226552.0,120.0,1887.9333333333334
Argentina,South Korea,210952.0,186.34479980468748,1132.0519822452998
Argentina,Spain,14389394.921386719,9922.046604421415,1450.2446415616093
Argentina,Sweden,4174179.132105827,2604.4792076168874,1602.6924384338715
Argentina,Switzerland,4259.961364746096,3.3049999999999997,1288.9444371395145
Argentina,Taiwan,429505.176269531,619.0,693.8694285452843
Argentina,Thailand,1563636.6804962158,747.8607109018166,2090.812711113927
Argentina,Turkey,4536483.0546875,2716.0,1670.2809479703608
Argentina,United Arab Emirates,81911.0,46.0,1780.6739130434783
Argentina,United Kingdom,3483602.4111328125,2715.6,1282.8113165167229
Argentina,United States,90665145.0,113944.165,795.6980070019382
Argentina,Uruguay,38084906.0,40199.8173384824,947.3900261616901
Argentina,Venezuela,67033.75,50.0,1340.675
Argentina,Vietnam,424322.3952636717,966.063,439.22849261763645
Armenia,Austria,247193.58203125,219.5,1126.1666607346242
Armenia,Georgia,24826253.357421875,47077.0099957431,527.3540813162681
Armenia,Germany,9462.400390625,25.2000007629395,375.49206762489166
Armenia,Hong Kong SAR,9496.2060546875,4.182,2270.7331551141797
Armenia,Iran,75978.69995117188,275.216,276.06934172130934
Armenia,Netherlands,4.52680015563965,0.0040000001899898,1131.699985157049
Armenia,Peru,307145.74755859375,342.18,897.6145524536611
Armenia,Russia,228.78000640869192,0.43057998657226604,531.3298656306563
Armenia,Serbia,5335.62561035157,3.0,1778.54187011719
Australia,American Samoa,102844.8046875,154.0,667.8234070616883
Australia,"Areas, nes., Spec Cat, Islands, Other",2270.9364976882935,1.4009999762056375,1620.9397118183585
Australia,Austria,12969.746376037601,14.974883299541322,866.099996681434
Australia,Bangladesh,20380539.80908203,41666.200000047684,489.1384337678672
Australia,Belgium,111133.15112304688,89.72399997711182,1238.6111982456916
Australia,Cambodia,454821.78955078125,325.2799973487853,1398.2470279692398
Australia,Canada,7092038.300842286,7561.047588323817,937.970329904311
Australia,Chad,236.275207519531,0.264999985694885,891.6046048076884
Australia,China (mainland),6424059.537796022,7027.309373172728,914.1563572425521
Australia,Christmas Island,159.0139007568356,0.1059999987483024,1500.1311569296809
Australia,Cook Islands,10840.0,4.75699996948242,2278.747124141654
Australia,Czech Republic,88627.64453125,48.919999599456766,1811.6853077863511
Australia,Denmark,55.434398651123,0.0389289951852735,1423.9874003245106
Australia,East Timor,618113.4790039062,348.04499959945696,1775.9585102939393
Australia,Ecuador,15043.8935546875,6.76999998092651,2222.1408562882543
Australia,Egypt,43.5325012207031,0.0299999993294477,1451.0834064576804
Australia,Fiji,199373.4327859879,142.07859516734683,1403.261571886719
Australia,France,718874.9294643403,685.1410188055206,1049.2364487498232
Australia,French Polynesia,36303.64111328125,22.49500000476837,1613.8537944247964
Australia,Germany,12602192.740234379,11371.090099185883,1108.2660176210052
Australia,Ghana,525.7209091186527,0.2360845684895831,2226.8330051476846
Australia,Hong Kong SAR,15202.9716796875,37.108779762598196,409.68665035465597
Australia,India,2017552.1125679016,2014.9760976931623,1001.2784344577033
Australia,Indonesia,50171763.13986971,59868.27714410544,838.0358602787948
Australia,Ireland,29980.09684753418,26.045701653112065,1151.0573701112796
Australia,Israel,15434.025390625,20.0,771.70126953125
Australia,Italy,36418206.42211913,76767.28872736484,474.3974552944883
Australia,Japan,19620362.13632202,13856.83126942897,1415.934260497823
Australia,Kenya,2203.80004882813,4.19999980926514,524.7143211689149
Australia,Laos,1908.36218261719,7.30000019073486,261.41947024046357
Australia,Lebanon,15035.7021484375,24.1049995422363,623.7586572898391
Australia,Lithuania,115.912498474121,0.100000001490116,1159.1249674689034
Australia,Malaysia,116730943.15564346,202961.89076412146,575.1372472741989
Australia,Mexico,22521677.87939453,36098.31582031399,623.8983001727928
Australia,Mozambique,4619820.880859375,2638.9069881439214,1750.6569582085694
Australia,Nauru,23101.75646972657,17.170999526977536,1345.3938096865684
Australia,Netherlands,193368.7279644013,180.52611554323923,1071.1399144800523
Australia,New Caledonia,833144.3753662109,477.9690031781797,1743.0928989669799
Australia,New Zealand,91962109.26010664,57226.02913606253,1606.9979107139243
Australia,Nigeria,40050.57421875,37.7999992370605,1059.5390218813275
Australia,Norfolk Island,50704.5693359375,23.79199981689455,2131.1604625993864
Australia,Northern Mariana Islands,160.833999633789,0.449999988079071,357.40889754318914
Australia,Oman,87594.94340515137,39.82001073658468,2199.771968536247
Australia,Pakistan,125913.513671875,168.7800006866454,746.0215260079557
Australia,Papua New Guinea,2117779.8183212285,1353.8827582289418,1564.2268914714339
Australia,Peru,147061.46875,83.1999969482422,1767.565795002196
Australia,Philippines,18240531.37463382,45574.611339585594,400.2344910573115
Australia,Poland,18700.732421875,30.0,623.3577473958334
Australia,Qatar,3917.200164794922,2.89600002765656,1352.6243533791385
Australia,Singapore,7371695.691513063,6679.971950939839,1103.551892980015
Australia,Slovenia,41140072.0,42000.0,979.5255238095239
Australia,Solomon Islands,1234.50183105469,1.54999995231628,796.4528187306602
Australia,South Africa,3491006.8206481934,2074.8852057195013,1682.5060061275187
Australia,South Korea,21747747.092254646,26869.035047614805,809.3981437634553
Australia,Spain,15325352.238204956,15069.60355544911,1016.9711619695111
Australia,Sri Lanka,78928.7446899414,44.409001171588926,1777.3141166803996
Australia,Sweden,17964.26782226568,50.240999907255166,357.56190870857864
Australia,Switzerland,183584.65004730225,160.5166762259684,1143.710761795614
Australia,Taiwan,61681547.52307123,101778.97267224907,606.034290812696
Australia,Tanzania,23595.49609375,16.0,1474.718505859375
Australia,Thailand,119179646.51923852,170822.77217415522,697.6800868079455
Australia,United Arab Emirates,2146630.7366638184,1425.5976213747351,1505.7760369954708
Australia,United Kingdom,61498449.99694825,99700.00962442889,616.8349454389587
