Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product,Average Cost,log(Nominal Value (SUM)),log(Tons (SUM)),log(Nominal Value (SUM)_export),log(Tons (SUM)_export),log(Nominal Value (SUM)_import),log(Tons (SUM)_import),log(Nominal Value (SUM)_product),log(Tons (SUM)_product),log(Average Cost)
340774952.50131583,394924.387851126,20371381847.321857,19974645.43039817,32479866310.468662,47476506.68932843,6.61659758960522e+20,948326387393262.2,73.23594456976075,19.646732854036873,12.886449602397802,23.737396902258936,16.80997429879064,24.20388623617442,17.675745550637778,47.941283138433356,34.48571984942842,4.293686346478598
67493097.95456876,55781.338340893424,20371381847.321857,19974645.43039817,8298699654.963992,9379886.163980313,1.6905597950750962e+20,187359900303004.4,156.13002148801263,18.027535898089706,10.929194654097188,23.737396902258936,16.80997429879064,22.83936467139861,16.05407818487255,46.57676157365755,32.864052483663194,5.050689131182399
2699922.426560402,1308.9092640169706,20371381847.321857,19974645.43039817,21831402497.170246,21647464.564676967,4.44735836532431e+20,432400429146531.1,126.93985577943783,14.808733599658263,7.176949446484423,23.737396902258936,16.80997429879064,23.80661525176477,16.890398895378258,47.544012154023704,33.7003731941689,4.843713397745946
66058764.44509399,39008.215115748186,20371381847.321857,19974645.43039817,77759127639.26492,106341819.28649531,1.5840608812541047e+21,2124140134671220.8,123.08658977373334,18.00605527422633,10.571527546922995,23.737396902258936,16.80997429879064,25.076881778404815,18.482169174098892,48.81427868066375,35.292143472889535,4.812888089593665
941616155.1898792,709415.6386187033,20371381847.321857,19974645.43039817,51544634493.05953,55433892.192151785,1.0500354314387532e+21,1107272341365149.6,66.40963003269489,20.66310827093168,13.472196865931654,23.737396902258936,16.80997429879064,24.665713958443515,17.830701737082563,48.403110860702455,34.640676035873206,4.19584207657934
7227516735.588562,6860570.160304134,20371381847.321857,19974645.43039817,82866679359.00713,85265665.52379914,1.6881087676419185e+21,1703151436224813.2,28.544485798897256,22.701161347395306,15.74130110999527,23.737396902258936,16.80997429879064,25.140498880520713,18.261282417056094,48.87789578277965,35.07125671584674,3.351463775552704
13227139.692398554,7882.553347865094,20371381847.321857,19974645.43039817,31245526612.397964,36080361.29465354,6.365145536418159e+20,720692423861366.4,143.52369464499404,16.39778131410752,8.972407159282783,23.737396902258936,16.80997429879064,24.165142054478846,17.40125926681847,47.902538956737786,34.21123356560911,4.966500141046266
386.8618087768552,0.3000000044703479,20371381847.321857,19974645.43039817,38517934065.54635,59878521.730703816,7.84663542819211e+20,1196052240467200.5,205.2639644243032,5.958067545996432,-1.2039727894247765,23.737396902258936,16.80997429879064,24.374389789664068,17.907828430014973,48.11178669192301,34.717802728805616,5.324296782190183
2092069.322265625,1315.9964182164629,20371381847.321857,19974645.43039817,7489451633.987148,10946534.846878693,1.525704790630008e+20,218653152257899.8,195.49023771304425,14.553664240456191,7.182349390161545,23.737396902258936,16.80997429879064,22.736761418709502,16.20853351180533,46.47415832096844,33.01850781059597,5.275510443206987
4506961993.086527,5101500.914131307,20371381847.321857,19974645.43039817,85028215439.92317,115714020.75218745,1.732142244523023e+21,2311346535850679.5,55.42526585066824,22.22888914775638,15.445045351286211,23.737396902258936,16.80997429879064,25.166248984706765,18.56663236677691,48.9036458869657,35.37660666556755,4.015035552074872
32096.77024841311,17.219790449749198,20371381847.321857,19974645.43039817,16986894723.92083,19522853.46143032,3.4604651882124824e+20,389962075681692.2,116.51165489042263,10.376510688741813,2.84605932992143,23.737396902258936,16.80997429879064,23.555707985114616,16.787096309691492,47.29310488737355,33.597070608482134,4.757991309979767
106882291.44406465,97577.82813963252,20371381847.321857,19974645.43039817,55197296936.53189,71488192.66756846,1.1244452128341002e+21,1427951300994670.2,161.39771439925178,18.487238706932075,11.488405575893525,23.737396902258936,16.80997429879064,24.734179820489373,18.08504285651101,48.47157672274831,34.89501715530165,5.083871594640485
10608979.444055555,7339.176403129939,20371381847.321857,19974645.43039817,7505180857.672238,8804172.188609717,1.528909050848517e+20,175860217775651.75,124.61274013117873,16.177211317844616,8.900981908654877,23.737396902258936,16.80997429879064,22.738859400032247,15.990736279434703,46.47625630229118,32.80071057822534,4.825210849370167
22280961.616923336,16972.87884212882,20371381847.321857,19974645.43039817,3491987766.0907483,3966841.6543924217,7.113661618921108e+19,79236255525022.7,147.11070923368035,16.919243132636105,9.739371986865201,23.737396902258936,16.80997429879064,21.97373697150719,15.19348078299334,45.71113387376613,32.00345508178398,4.991185427361779
3570.56875610352,1.68848407500231,20371381847.321857,19974645.43039817,45189048533.220924,62036767.3909452,9.205633629874032e+20,1239162432282217.8,121.97422601234577,8.180480177519488,0.5238311293523462,23.737396902258936,16.80997429879064,24.534120605339822,17.94323778967565,48.27151750759876,34.75321208846629,4.803809760220369
239731134.2010812,235425.28580524327,20371381847.321857,19974645.43039817,30411831383.82331,41310141.89855985,6.195310297962313e+20,825155437103168.5,79.6238393469864,19.29502857916796,12.369148884374525,23.737396902258936,16.80997429879064,24.13809755990105,17.536618594335817,47.875494462159985,34.346592893126456,4.377313537296122
277605950.8394268,152795.05593479596,20371381847.321857,19974645.43039817,8710318987.062227,7368504.891323383,1.7744123409742237e+20,147183272556339.2,80.3616522951149,19.44171322310861,11.936852798743406,23.737396902258936,16.80997429879064,22.887774250224282,15.812725379450582,46.62517115248322,32.62269967824122,4.386537100899055
3408259.313178539,3545.3982512304983,20371381847.321857,19974645.43039817,2669614115.0918794,2993415.9970440585,5.438372852353692e+19,59792423166636.88,99.76237723750538,15.041712253584373,8.173405774329295,23.737396902258936,16.80997429879064,21.705199772730836,14.911925767167954,45.44259667498977,31.721900065958597,4.602791130653873
211393863.2798589,183244.27860124828,20371381847.321857,19974645.43039817,14216521519.3457,15103076.82513566,2.8961018841125952e+20,301678604490148.5,80.10878346253536,19.169233602028537,12.118575397440194,23.737396902258936,16.80997429879064,23.377670612504716,16.53040904428226,47.11506751476365,33.3403833430729,4.383385504273939
