Export_country,Import_country,Nominal Value (SUM),Tons (SUM),Nominal Value (SUM)_export,Tons (SUM)_export,Nominal Value (SUM)_import,Tons (SUM)_import,Nominal Value (SUM)_product,Tons (SUM)_product,Average Cost
Austria,Belgium,340774952.50131583,394924.387851126,20371381847.321857,19974645.43039817,32479866310.468662,47476506.68932843,6.61659758960522e+20,948326387393262.2,73.23594456976075
Austria,Brazil,67493097.95456876,55781.338340893424,20371381847.321857,19974645.43039817,8298699654.963992,9379886.163980313,1.6905597950750962e+20,187359900303004.4,156.13002148801263
Austria,Canada,2699922.426560402,1308.9092640169706,20371381847.321857,19974645.43039817,21831402497.170246,21647464.564676967,4.44735836532431e+20,432400429146531.1,126.93985577943783
Austria,China (mainland),66058764.44509399,39008.215115748186,20371381847.321857,19974645.43039817,77759127639.26492,106341819.28649531,1.5840608812541047e+21,2124140134671221.2,123.08658977373334
Austria,France,941616155.1898792,709415.6386187033,20371381847.321857,19974645.43039817,51544634493.05953,55433892.192151785,1.0500354314387532e+21,1107272341365149.6,66.40963003269489
Austria,Germany,7227516735.588562,6860570.160304134,20371381847.321857,19974645.43039817,82866679359.00713,85265665.52379914,1.6881087676419185e+21,1703151436224813.2,28.544485798897256
Austria,India,13227139.692398554,7882.553347865094,20371381847.321857,19974645.43039817,31245526612.397964,36080361.29465354,6.365145536418159e+20,720692423861366.4,143.52369464499404
Austria,Indonesia,386.8618087768552,0.3000000044703479,20371381847.321857,19974645.43039817,38517934065.54635,59878521.730703816,7.84663542819211e+20,1196052240467200.5,205.26396442430317
Austria,Iran,2092069.322265625,1315.9964182164629,20371381847.321857,19974645.43039817,7489451633.987148,10946534.846878693,1.525704790630008e+20,218653152257899.8,195.49023771304425
Austria,Italy,4506961993.086527,5101500.914131307,20371381847.321857,19974645.43039817,85028215439.92317,115714020.75218745,1.732142244523023e+21,2311346535850679.5,55.42526585066824
Austria,Malaysia,32096.77024841311,17.219790449749198,20371381847.321857,19974645.43039817,16986894723.92083,19522853.46143032,3.4604651882124824e+20,389962075681692.2,116.51165489042263
