Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
Russia,Austria,1675.699,1675.699,2527.123,2176.779
Russia,Belgium,2261.25,2261.25,3010.804,2694.646
Russia,Brazil,11820.15,11192.67,11942.46,11770.14
Russia,Canada,7495.521,7169.651,7819.133,7756.969
Russia,China (mainland),5795.045,5795.045,5506.709,4984.132
Russia,Germany,2065.183,1614.179,2654.584,2290.933
Russia,Spain,3449.3,3449.3,4180.506,3901.271
Russia,France,2494.316,2494.316,3350.928,3049.666
Russia,United Kingdom,2510.88,2510.88,3266.609,2972.27
Russia,Indonesia,9302.706,9302.706,8698.131,8560.525
Russia,India,4341.881,4341.881,4628.077,4494.664
Russia,Iran,2466.589,2466.589,2693.442,2509.75
Russia,Italy,2383.171,2383.171,3101.445,2798.584
Russia,Japan,7486.303,7486.303,6683.27,6034.677
Russia,South Korea,6614.064,6614.064,6009.905,5304.06
Russia,Mexico,10736.3,10736.3,10815.05,10778.4
Russia,Malaysia,8130.454,8130.454,7647.654,7520.277
Russia,Netherlands,2155.229,2155.229,2899.719,2573.45
Russia,Russia,1554.244,1554.244,1366.106,205.0268
Russia,Slovakia,1632.621,1632.621,2264.875,1895.26
Russia,Sweden,1232.383,1232.383,2081.843,1622.13
Russia,Taiwan,7356.632,7356.632,6695.654,6372.034
Russia,Ukraine,763.4056,763.4056,1557.259,1081.068
Russia,United States,7517.972,7834.547,8915.321,8795.135
Russia,Vietnam,6737.911,6737.911,6790.411,6586.911
Russia,South Africa,10147.89,9113.282,9782.655,9715.083
Slovakia,Austria,59.61723,59.61723,294.7693,174.622
Slovakia,Belgium,971.336,971.336,1083.666,1072.437
Slovakia,Brazil,10191.96,9583.929,9752.412,9672.648
Slovakia,Canada,6973.962,6624.73,7220.953,7153.504
Slovakia,China (mainland),7422.387,7422.387,7654.48,7629.104
Slovakia,Germany,817.4212,553.9702,751.6134,709.1596
Slovakia,Spain,1865.664,1865.664,1986.511,1924.331
Slovakia,France,1094.61,1094.61,1247.716,1213.423
Slovakia,United Kingdom,1294.938,1294.938,1502.94,1487.425
Slovakia,Indonesia,10494.27,10494.27,10378.76,10348.28
Slovakia,India,5511.714,5511.714,5888.319,5850.416
Slovakia,Iran,3125.928,3125.928,3099.809,3058.573
Slovakia,Italy,789.4631,789.4631,906.8877,863.0097
Slovakia,Japan,9104.249,9104.249,8860.198,8856.159
Slovakia,South Korea,8246.657,8246.657,8205.849,8202.305
Slovakia,Mexico,10216.82,10216.82,10185.72,10179.21
Slovakia,Malaysia,9351.424,9351.424,9348.403,9332.911
Slovakia,Netherlands,987.487,987.487,1059.149,1049.467
Slovakia,Russia,1632.621,1632.621,2264.875,1895.26
Slovakia,Slovakia,83.2897,83.2897,149.926,85.65497
Slovakia,Sweden,1244.273,1244.273,1176.298,1152.241
Slovakia,Taiwan,8953.523,8953.523,8844.377,8842.47
Slovakia,Ukraine,998.2211,998.2211,1054.575,932.5637
Slovakia,United States,6852.755,7183.664,8289.6,8125.262
Slovakia,Vietnam,8198.256,8198.256,8679.152,8659.559
Slovakia,South Africa,9138.581,8298.498,8685.687,8672.061
Sweden,Austria,1242.31,1242.31,1228.473,1194.509
Sweden,Belgium,1283.716,1283.716,1151.5,1103.572
Sweden,Brazil,10936.15,10235.23,10185.49,10099.92
Sweden,Canada,6335.357,6000.775,6347.801,6295.129
Sweden,China (mainland),6713.787,6713.787,7276.972,7242.087
Sweden,Germany,1118.929,810.3746,929.3204,826.5554
Sweden,Spain,2596.908,2596.908,2486.548,2426.659
Sweden,France,1545.797,1545.797,1616.322,1550.527
Sweden,United Kingdom,1437.571,1437.571,1292.802,1255.961
Sweden,Indonesia,10528.27,10528.27,10632.05,10605.43
Sweden,India,5574.222,5574.222,6308.107,6267.688
Sweden,Iran,3566.229,3566.229,3765.085,3735.173
Sweden,Italy,1980.122,1980.122,1833.431,1772.384
Sweden,Japan,8180.65,8180.65,8226.76,8217.302
Sweden,South Korea,7445.181,7445.181,7682.775,7674.148
Sweden,Mexico,9597.715,9597.715,9357.389,9347.759
Sweden,Malaysia,9354.846,9354.846,9568.984,9557.659
Sweden,Netherlands,1128.93,1128.93,1009.396,952.2878
Sweden,Russia,1232.383,1232.383,2081.843,1622.13
Sweden,Slovakia,1244.273,1244.273,1176.298,1152.241
Sweden,Sweden,252.3032,252.3032,281.2379,98.97228
Sweden,Taiwan,8358.111,8358.111,8551.703,8546.251
Sweden,Ukraine,1267.46,1267.46,1616.605,1569.584
Sweden,United States,6322.853,6644.253,7440.511,7290.073
Sweden,Vietnam,7893.266,7893.266,8727.681,8701.434
Sweden,South Africa,10380.56,9513.372,9838.573,9823.704
Taiwan,Austria,9003.64,9003.64,9127.573,9125.474
Taiwan,Belgium,9587.026,9587.026,9629.656,9629.126
Taiwan,Brazil,18821.26,18523.81,18260.39,18232.16
Taiwan,Canada,12090.98,11994.6,11526.46,11428.16
Taiwan,China (mainland),1718.106,1718.106,1490.694,1274.512
Taiwan,Germany,9396.126,8958.811,9275.322,9271.306
Taiwan,Spain,10804.02,10804.02,10814.53,10802.21
Taiwan,France,9834.232,9834.232,9980.066,9976.811
Taiwan,United Kingdom,9790.424,9790.424,9823.558,9822.446
Taiwan,Indonesia,3825.405,3825.405,3584.592,3560.061
Taiwan,India,4393.583,4393.583,4508.788,4456.134
Taiwan,Iran,6695.339,6695.339,6701.032,6684.999
Taiwan,Italy,9614.098,9614.098,9631.883,9630.214
Taiwan,Japan,2103.047,2103.047,2033.312,1966.245
Taiwan,South Korea,1475.758,1475.758,1520.398,1507.086
Taiwan,Mexico,13405.0,13405.0,13123.62,13085.85
Taiwan,Malaysia,3237.547,3237.547,2968.969,2923.841
Taiwan,Netherlands,9457.249,9457.249,9505.849,9505.14
Taiwan,Russia,7356.632,7356.632,6695.654,6372.035
Taiwan,Slovakia,8953.523,8953.523,8844.377,8842.47
Taiwan,Sweden,8358.111,8358.111,8551.703,8546.251
Taiwan,Taiwan,71.24096,71.24096,130.9233,17.42262
Taiwan,Ukraine,7964.517,7964.517,7863.154,7854.986
Taiwan,United States,12532.54,12659.11,12155.88,12099.73
Taiwan,Vietnam,1665.853,1665.853,1914.394,1868.229
Taiwan,South Africa,12686.75,11504.74,11692.18,11674.34
Ukraine,Austria,1052.484,1052.484,1338.285,1257.717
Ukraine,Belgium,1837.307,1837.307,2073.167,2029.986
Ukraine,Brazil,11155.24,10568.55,10689.79,10615.94
Ukraine,Canada,7564.316,7224.076,7892.484,7847.058
Ukraine,China (mainland),6460.799,6460.799,6722.159,6687.634
Ukraine,Germany,1646.271,1204.434,1695.696,1622.575
Ukraine,Spain,2863.877,2863.877,3004.592,2941.258
Ukraine,France,2025.144,2025.144,2275.21,2226.3
Ukraine,United Kingdom,2137.511,2137.511,2450.889,2412.67
Ukraine,Indonesia,9581.404,9581.404,9359.695,9319.266
Ukraine,India,4583.481,4583.481,4898.957,4838.656
Ukraine,Iran,2349.756,2349.756,2206.66,2124.324
Ukraine,Italy,1674.773,1674.773,1810.01,1765.606
Ukraine,Japan,8215.83,8215.83,8040.759,8031.861
Ukraine,South Korea,7309.346,7309.346,7327.559,7318.468
Ukraine,Mexico,10831.55,10831.55,10933.32,10919.63
Ukraine,Malaysia,8424.244,8424.244,8323.441,8298.929
Ukraine,Netherlands,1781.716,1781.716,2011.598,1966.749
Ukraine,Russia,763.4056,763.4056,1557.259,1081.068
Ukraine,Slovakia,998.2211,998.2211,1054.575,932.5637
Ukraine,Sweden,1267.46,1267.46,1616.605,1569.584
Ukraine,Taiwan,7964.517,7964.517,7863.154,7854.986
Ukraine,Ukraine,292.2376,292.2376,400.222,182.8418
Ukraine,United States,7515.91,7842.333,8995.575,8864.919
Ukraine,Vietnam,7205.898,7205.898,7644.061,7614.265
Ukraine,South Africa,9462.487,8478.047,8696.577,8676.057
United States,Austria,6798.701,7129.667,8124.255,7946.586
United States,Belgium,5891.711,6222.864,7302.655,7096.715
United States,Brazil,7694.307,6794.436,8088.514,7887.2
United States,Canada,548.3946,737.0425,2079.297,1154.531
United States,China (mainland),10993.68,11159.25,11183.43,11099.8
United States,Germany,6035.334,6717.542,7595.452,7405.775
United States,Spain,5770.264,6092.003,7437.157,7176.146
United States,France,5838.157,6169.154,7456.767,7227.043
United States,United Kingdom,5570.161,5901.343,6878.494,6655.415
United States,Indonesia,16180.32,16371.12,15535.87,15476.45
United States,India,11761.81,12059.81,13131.91,13076.46
United States,Iran,9865.231,10191.14,11098.36,11003.46
United States,Italy,6895.107,7224.739,8284.006,8076.798
United States,Japan,10855.59,10918.79,10286.19,10193.96
United States,South Korea,11065.7,11185.97,10682.86,10624.66
United States,Mexico,3369.053,3037.916,2468.405,1623.72
United States,Malaysia,15130.12,15357.34,14859.51,14818.76
United States,Netherlands,5866.046,6196.851,7281.814,7081.953
United States,Russia,7517.972,7834.547,8915.321,8795.135
United States,Slovakia,6852.755,7183.664,8289.6,8125.262
United States,Sweden,6322.853,6644.253,7440.511,7290.073
United States,Taiwan,12532.54,12659.11,12155.88,12099.73
United States,Ukraine,7515.91,7842.333,8995.575,8864.919
United States,United States,1161.074,1161.074,1853.802,261.7169
United States,Vietnam,13159.26,13362.15,13715.75,13666.17
United States,South Africa,12581.72,13040.41,14418.61,14275.12
Vietnam,Austria,8254.594,8254.594,8966.116,8946.964
Vietnam,Belgium,8989.95,8989.95,9644.942,9626.694
Vietnam,Brazil,17191.68,17207.4,16837.64,16820.94
Vietnam,Canada,12816.55,12637.78,12955.35,12878.74
Vietnam,China (mainland),2330.799,2330.799,2664.699,2345.954
Vietnam,Germany,8793.074,8337.11,9259.051,9236.968
Vietnam,Spain,10053.22,10053.22,10603.31,10578.46
Vietnam,France,9208.554,9208.554,9888.428,9869.467
Vietnam,United Kingdom,9248.713,9248.713,9941.448,9922.318
Vietnam,Indonesia,3023.314,3023.314,2226.403,2082.434
Vietnam,India,3006.763,3006.763,3329.87,3252.258
Vietnam,Iran,5502.821,5502.821,5971.439,5936.052
Vietnam,Italy,8741.851,8741.851,9337.082,9320.302
Vietnam,Japan,3672.564,3672.564,3902.722,3843.984
Vietnam,South Korea,2740.135,2740.135,3257.774,3207.427
Vietnam,Mexico,14772.0,14772.0,14939.15,14896.75
Vietnam,Malaysia,2040.94,2040.94,1361.233,1217.886
Vietnam,Netherlands,8892.063,8892.063,9549.609,9530.631
Vietnam,Russia,6737.911,6737.911,6790.411,6586.911
Vietnam,Slovakia,8198.256,8198.256,8679.152,8659.559
Vietnam,Sweden,7893.266,7893.266,8727.681,8701.434
Vietnam,Taiwan,1665.853,1665.853,1914.394,1868.229
Vietnam,Ukraine,7205.898,7205.898,7644.061,7614.265
Vietnam,United States,13159.26,13362.15,13715.75,13666.17
Vietnam,Vietnam,216.4326,216.4326,559.7549,110.3731
Vietnam,South Africa,11074.41,9862.524,9850.552,9824.442
South Africa,Austria,9145.618,8314.978,8653.429,8640.589
South Africa,Belgium,9535.728,8838.753,9169.502,9159.605
South Africa,Brazil,6355.119,7900.19,7342.994,7280.527
South Africa,Canada,13117.46,13075.43,14065.19,13942.26
South Africa,China (mainland),12967.77,11674.59,11875.3,11820.34
South Africa,Germany,9571.156,8828.848,9110.947,9096.961
South Africa,Spain,8582.782,8070.031,8283.678,8270.088
South Africa,France,9353.552,8692.812,8769.679,8750.608
South Africa,United Kingdom,9681.689,9033.48,9488.882,9476.756
South Africa,Indonesia,9478.355,8573.012,8934.844,8897.848
South Africa,India,9310.96,8000.751,7857.113,7792.628
South Africa,Iran,8471.103,7256.418,7571.688,7537.13
South Africa,Italy,8460.335,7697.383,8134.674,8110.853
South Africa,Japan,14746.39,13517.0,13617.97,13594.8
South Africa,South Korea,13723.41,12457.03,12792.46,12774.99
South Africa,Mexico,13719.26,14615.26,14785.82,14753.67
South Africa,Malaysia,9588.708,8523.575,8994.414,8949.459
South Africa,Netherlands,9693.594,8981.913,9279.857,9269.749
South Africa,Russia,10147.89,9113.282,9782.655,9715.083
South Africa,Slovakia,9138.581,8298.498,8685.687,8672.061
South Africa,Sweden,10380.56,9513.372,9838.573,9823.704
South Africa,Taiwan,12686.75,11504.74,11692.18,11674.34
South Africa,Ukraine,9462.487,8478.047,8696.577,8676.057
South Africa,United States,12581.72,13040.41,14418.61,14275.12
South Africa,Vietnam,11074.41,9862.524,9850.552,9824.442
South Africa,South Africa,415.4302,415.4302,585.4579,107.6344
