Export_country,Import_country,Distance,Distance capital,Distance weighted with popuation,Distance weighted with population_1
China (mainland),Canada,10598.32,10458.92,10428.4,10300.58
China (mainland),China (mainland),1163.707,1163.707,1018.071,305.7395
China (mainland),Germany,7785.342,7363.33,8031.667,8003.2
China (mainland),Spain,9232.299,9232.299,9592.113,9559.116
China (mainland),France,8225.232,8225.232,8742.565,8716.882
China (mainland),United Kingdom,8151.353,8151.353,8539.15,8513.196
China (mainland),Indonesia,5220.879,5220.879,4684.441,4562.061
China (mainland),India,3785.013,3785.013,4204.048,4046.001
China (mainland),Iran,5609.038,5609.038,5864.218,5811.084
China (mainland),Italy,8134.695,8134.695,8466.925,8444.155
China (mainland),Japan,2098.111,2098.111,1974.968,1816.706
China (mainland),South Korea,955.6511,955.6511,1168.165,999.2522
China (mainland),Mexico,12467.17,12467.17,12411.55,12332.45
China (mainland),Malaysia,4355.047,4355.047,3879.04,3736.573
China (mainland),Netherlands,7831.141,7831.141,8242.414,8217.513
China (mainland),Russia,5795.045,5795.045,5506.708,4984.132
China (mainland),Slovakia,7422.387,7422.387,7654.48,7629.104
China (mainland),Sweden,6713.787,6713.787,7276.972,7242.086
China (mainland),Taiwan,1718.106,1718.106,1490.694,1274.512
China (mainland),Ukraine,6460.799,6460.799,6722.159,6687.634
China (mainland),United States,10993.68,11159.25,11183.43,11099.8
China (mainland),Vietnam,2330.799,2330.799,2664.699,2345.954
China (mainland),South Africa,12967.77,11674.59,11875.3,11820.34
Germany,Austria,763.7314,523.9359,592.3267,529.5919
Germany,Belgium,196.8761,653.1423,423.3463,325.7056
Germany,Brazil,9847.663,9601.955,9395.881,9306.738
Germany,Canada,6160.559,6134.981,6541.714,6454.213
Germany,China (mainland),7785.342,7363.33,8031.667,8003.2
Germany,Germany,224.8358,224.8358,301.0826,129.6204
Germany,Spain,1479.332,1873.129,1627.346,1550.94
Germany,France,439.8984,880.187,789.5815,682.0841
Germany,United Kingdom,495.3633,936.1019,808.641,752.69
Germany,Indonesia,11227.22,10783.79,11030.03,11000.95
Germany,India,6229.637,5785.567,6565.789,6528.24
Germany,Iran,3914.946,3512.118,3811.351,3773.798
Germany,Italy,1146.023,1187.299,1013.826,889.9425
Germany,Japan,9298.341,8927.671,9086.037,9079.584
Germany,South Korea,8543.784,8139.991,8503.73,8497.744
Germany,Mexico,9399.781,9739.229,9475.768,9467.1
Germany,Malaysia,10070.46,9623.965,9986.959,9972.264
Germany,Netherlands,173.5239,577.8569,379.1754,281.7572
Germany,Russia,2065.183,1614.179,2654.584,2290.932
Germany,Slovakia,817.4212,553.9702,751.6134,709.1596
Germany,Sweden,1118.929,810.3746,929.3204,826.5554
Germany,Taiwan,9396.126,8958.811,9275.322,9271.306
Germany,Ukraine,1646.271,1204.434,1695.696,1622.575
Germany,United States,6035.334,6717.542,7595.452,7405.775
Germany,Vietnam,8793.074,8337.11,9259.051,9236.968
Germany,South Africa,9571.156,8828.848,9110.947,9096.961
Spain,Austria,1811.999,1811.999,1703.055,1628.711
Spain,Belgium,1316.64,1316.64,1356.567,1299.581
Spain,Brazil,8389.78,7743.538,7821.087,7696.928
Spain,Canada,6040.498,5695.349,6519.997,6357.972
Spain,China (mainland),9232.299,9232.299,9592.113,9559.116
Spain,Germany,1479.332,1873.129,1627.346,1550.94
Spain,Spain,267.5404,267.5404,462.5217,125.351
Spain,France,1054.656,1054.656,958.838,817.1057
Spain,United Kingdom,1263.379,1263.379,1435.419,1369.098
Spain,Indonesia,12188.31,12188.31,12160.97,12125.58
