,Export_country,Import_country,Month,Year,Nominal Value (SUM),Tons (SUM),Price,log_Price
4,Italy,Sri Lanka,1,2013,1400.91125488281,0.004,350227.8137207025,12.766339118069313
34,Estonia,China (mainland),1,2013,1796.0400390625,0.0504053975421731,35631.89909492912,10.480996557626534
84,United Arab Emirates,Kazakhstan,1,2013,11652.3603515625,0.32940000295639,35374.49983904579,10.473746496020023
126,Netherlands,Côte d'Ivoire,1,2013,2529.09033203125,0.0040000001899898,632272.5529764768,13.357075834875024
132,Austria,Sudan,1,2013,3259.47998046875,0.100000001490116,32594.79931898718,10.391908024536102
140,Bulgaria,Peru,1,2013,20452.96875,0.572653015136719,35716.163556943684,10.483358626001236
216,Bangladesh,Denmark,1,2013,170.291198730469,0.003000000026077,56763.73241674648,10.946652886982823
221,Czech Republic,Thailand,1,2013,738.371978759766,0.0050000002374872,147674.388737796,11.902765052927297
258,"Areas, nes., Spec Cat, Islands, Other",Côte d'Ivoire,1,2013,761.447021484375,0.018,42302.6123046875,10.652604119739506
262,Denmark,Sri Lanka,1,2013,3183.64722442627,0.0169999997597188,187273.3687896788,12.14032469353748
298,Switzerland,Mexico,1,2013,1281.13498210907,0.0012879999615252,994670.0468779512,13.810166349967648
310,Mexico,Bolivia,1,2013,218.0,0.003,72666.66666666667,11.193638053103117
315,Switzerland,Chile,1,2013,989.820251464844,0.0011210000514984,882979.666362886,13.691057451419349
327,Austria,Ireland,1,2013,964.539978027344,0.03,32151.332600911468,10.378209178290788
342,Norway,Malaysia,1,2013,2868.82885742188,0.047,61038.91186004,11.01926683912906
350,Switzerland,Portugal,1,2013,7440.97896575928,0.0446499992087483,166651.26758392787,12.023658689971152
368,Austria,Australia,1,2013,63798.0001564026,0.501094310818652,127317.35080403127,11.754438073796829
415,Czech Republic,Singapore,1,2013,2007.57360839844,0.028999999165535,69226.67814364414,11.145141589618127
425,Luxembourg,Japan,1,2013,3476.33520507813,0.0850000008940697,40898.06080602839,10.61883792785132
428,Switzerland,South Korea,1,2013,2581.76293945313,0.0094734248257019,272526.88303903147,12.515492541573758
432,United States,Egypt,1,2013,46155.0,1.421,32480.647431386347,10.388399727309288
440,Bulgaria,Italy,1,2013,60334.9699859619,0.121,498636.115586462,13.11963188143647
443,Switzerland,Croatia,1,2013,260.991973876953,0.001182000041008,220805.3847903264,12.30503698072505
449,Canada,Poland,1,2013,5722.05041503906,0.135384272297229,42265.25221834189,10.651720566891465
465,Singapore,Iran,1,2013,28019.8671875,0.400000005960464,70049.66692492871,11.156959796934844
505,Chile,Sweden,1,2013,34.5904006958008,0.0010000000474974,34590.39905284505,10.45133143851818
506,Norway,Singapore,1,2013,4910.81091308594,0.0502359821288385,97754.85030811882,11.490218096137
571,Switzerland,Ukraine,1,2013,602.122573852539,0.001205000013113,499686.7778424368,13.12173673679098
637,United Kingdom,Vietnam,1,2013,18458.314453125,0.52117548373932,35416.6975021362,10.474938668766724
653,France,Vietnam,1,2013,1187749.16015625,42.0679998397827,28234.02977749905,10.248283259111686
660,Switzerland,Singapore,1,2013,1421.91896057129,0.0011185066886509,1271265.4962182348,14.05552341601947
663,Switzerland,New Zealand,1,2013,29.2397665977478,9.99999977648258e-06,2923976.725130753,14.888455139878523
671,Netherlands,Gabon,1,2013,2152.58715820313,0.0109999999403954,195689.74271519444,12.184285738700344
689,Switzerland,United Arab Emirates,1,2013,2347.84489798546,0.0009100000113248,2580049.306337037,14.763319067698536
693,Switzerland,Algeria,1,2013,69.3090744018555,3.50000001490116e-05,1980259.26019354,14.49873833359058
732,Brazil,Cuba,1,2013,3384.0,0.005,676800.0,13.425131087274153
746,Brazil,Saudi Arabia,1,2013,405.0,0.006,67500.0,11.119882876860622
761,Mexico,Czech Republic,1,2013,2184.51684570313,0.0500000007450581,43690.33626302582,10.684882218483176
804,Switzerland,Qatar,1,2013,75.8068008422852,0.0004600000083446,164797.39014588838,12.012472059838714
805,Indonesia,South Korea,1,2013,2349.0,0.056,41946.42857142857,10.6441485729059
807,Denmark,Singapore,1,2013,20357.78125,0.0010000000474974,20357780.28305735,16.828973720277638
809,Hong Kong SAR,Czech Republic,1,2013,14047.6936035156,0.347000002861023,40483.26653513557,10.608643995743613
811,Switzerland,Denmark,1,2013,577.393615722656,0.0010000000474974,577393.5882979329,13.266279441712069
815,Switzerland,Saudi Arabia,1,2013,8.66363430023193,0.0002000000029802,43318.17085566865,10.676327476208431
816,Czech Republic,Hong Kong SAR,1,2013,16458.3780517578,0.245000004768372,67177.05196503113,11.115086979575118
852,Canada,Finland,1,2013,2129.97045898438,0.0089999996125698,236663.394519436,12.374394134279594
857,Canada,Sweden,1,2013,1911.78479003906,0.0409999991534278,46628.89828082412,10.749975762691257
869,Switzerland,Israel,1,2013,4430.36614990234,0.0309520952089087,143136.22777391764,11.871552097542493
886,South Korea,Malta,1,2013,3400.0,0.05,68000.0,11.127262984158245
913,Thailand,United Kingdom,1,2013,6818.7568359375,0.055,123977.39701704546,11.727854545851168
915,Switzerland,Martinique,1,2013,44.4011268615723,0.0001000000014901,444011.26199944015,13.003605205956283
916,Switzerland,Indonesia,1,2013,136.452239990234,7.00000002980232e-05,1949317.7058470305,14.482989974875167
917,Switzerland,Peru,1,2013,57.3965797424316,2.99999993294477e-05,1913219.3675115083,14.464297913835257
919,Switzerland,Philippines,1,2013,2333.76654052734,0.0141569996476173,164848.9509512791,12.012784884823452
921,Switzerland,Vietnam,1,2013,12011.0458984375,0.164233993530273,73133.73827339541,11.200045075150705
922,Switzerland,Morocco,1,2013,552.306701660156,0.0008000000119209,690383.3667876811,13.445002326322784
924,Switzerland,Kazakhstan,1,2013,151.61360168457,0.0009200000166893,164797.39014588794,12.01247205983871
926,Switzerland,Greece,1,2013,565.302167892456,0.0012373799457841,456854.15366433805,13.032119480350715
927,Switzerland,Estonia,1,2013,55.2306709289551,0.0001000000014901,552306.7010595405,13.221858788822264
929,Switzerland,Finland,1,2013,911.847537994385,0.0028860000148415,315955.4862457078,12.663356616335408
932,Switzerland,Turkey,1,2013,4906.86596679688,0.0553560016155243,88641.9868414191,11.392360916457106
935,Switzerland,Romania,1,2013,26791.20703125,0.208823999404907,128295.63224340991,11.762092506714888
953,Czech Republic,Nigeria,1,2013,2905.59350585938,0.0329999998211861,88048.28853344357,11.385640676295846
966,Czech Republic,Mexico,1,2013,3743.74560546875,0.0890000015497208,42064.5566323644,10.646960779869088
972,Luxembourg,Netherlands,1,2013,294.018402099609,0.006000000052154,49003.06659065002,10.799638158617151
1076,Netherlands,Venezuela,1,2013,3182.31689453125,0.0240000002086163,132596.53611956048,11.795066233614117
1091,Netherlands,Singapore,1,2013,21100.1443481445,0.637418787399879,33102.48264600885,10.407363562963608
1112,Hungary,Spain,1,2013,93.1146926879883,0.0003840000033378,242486.1767671963,12.39869998471307
1125,France,Congo,1,2013,10395.7451171875,0.0891676216965899,116586.54699304458,11.6663891688239
1132,Germany,Senegal,1,2013,1330.40002441406,0.0074022967284347,179728.00513434372,12.09919990444865
1173,Mexico,Honduras,1,2013,18887.0,0.0402629644699016,469091.14241001534,13.058552362044942
1243,France,Papua New Guinea,1,2013,22783.099609375,0.386999994516373,58871.059256335735,10.983104895003557
1325,Hungary,Switzerland,1,2013,13451.3756103516,0.441666313615832,30455.96912344963,10.324037284253365
1373,United Kingdom,Nigeria,1,2013,5601.76123046875,0.015,373450.7486979167,12.830541410597547
1445,Spain,South Korea,1,2013,453.666412353516,3.41,133.04000362273197,4.890649862115069
1446,Spain,Serbia,1,2013,9010.7724609375,0.277,32529.86447991877,10.389913853455608
1555,France,Malaysia,1,2013,1835.95202636719,0.0230000000447035,79824.0009912512,11.287579502518778
1593,United Kingdom,Bahamas,1,2013,1672.55603027344,0.059,28348.40729277017,10.252326127428534
1600,United Kingdom,Angola,1,2013,88765.8671875,0.362,245209.5778660221,12.409868543725125
1620,United Kingdom,Mexico,1,2013,13663.5458984375,0.006,2277257.6497395835,14.63848249180202
1637,Ireland,Spain,1,2013,144150.875,2.298120381844,62725.55438733548,11.046524209574768
1656,Liberia,South Africa,1,2013,20.459659576416,0.198199996948242,103.22734556731018,4.636933794374833
1681,Gibraltar,Spain,1,2013,5747.328125,360.0,15.964800347222225,2.7703863204338184
1719,Hong Kong SAR,Ecuador,1,2013,1248.07995605469,0.0428729180414192,29111.15018690656,10.278876547704431
1726,Hong Kong SAR,Norway,1,2013,364.324310302734,0.0094843561971301,38413.18300687345,10.556155987129957
1731,Hong Kong SAR,United Kingdom,1,2013,12257.818359375,0.344,35633.192905159885,10.48103286741565
1786,Philippines,South Korea,1,2013,21137.0,336.0,62.907738095238095,4.141669178321632
1873,United States,Finland,1,2013,6000.0,0.001,6000000.0,15.60727002719233
1876,Ireland,Poland,1,2013,462.979187011719,0.012,38581.59891764325,10.560530729811488
1877,Ireland,Mexico,1,2013,117036.6171875,4.107,28496.86320611152,10.257549297255917
1878,Ireland,China (mainland),1,2013,15552.3759765625,0.47,33090.16165226064,10.406991286133724
1879,Ireland,Turkey,1,2013,356.547210693359,0.007,50935.315813336994,10.838311789325688
1880,Ireland,Austria,1,2013,1704.24243164063,0.049,34780.45778858428,10.45681095023063
1884,Mauritania,France,1,2013,891.367980957031,19.1620006561279,46.5174799308848,3.8398281544480577
2007,Japan,Denmark,1,2013,20448.248046875,0.0769999995827675,265561.66438540205,12.489602350268653
2097,Lebanon,Senegal,1,2013,4981.421875,0.163,30560.870398773004,10.327475724510103
2146,Mexico,China (mainland),1,2013,6896476.0,57494.951,119.94924563028152,4.787068700231176
2164,Malaysia,Argentina,1,2013,22043.26953125,0.55,40078.671875,10.598599598358412
2176,Pakistan,South Africa,1,2013,155.607086181641,0.0013600000143051,114416.97393006882,11.647604720436162
2185,Netherlands,Peru,1,2013,107.762397766113,0.0010000000474974,107762.39264767416,11.587684014323964
2228,"Rest of America, nes.",Chile,1,2013,7303.81982421875,0.0098691997528076,740062.0118303854,13.514489261440138
2266,Portugal,Nigeria,1,2013,133.039993286133,0.003000000026077,44346.664043234574,10.69979276604133
2269,Portugal,Switzerland,1,2013,937.838439941406,0.0161100006103516,58214.674389198415,10.97189273920972
2272,Portugal,Belgium,1,2013,16419.7964935303,0.419000008609146,39188.05765192026,10.576127327626056
2275,United States,Angola,1,2013,147879.0,1.421,104066.85432793808,11.552788801673088
2355,Singapore,Congo,1,2013,1661.78143310547,0.0499999988824129,33235.629404983614,10.411377754313015
2484,United States,Malta,1,2013,3688.0,0.045,81955.55555555556,11.3139323738883
2486,Syria,Egypt,1,2013,681.078247070313,0.00112600004673,604865.2032015433,13.312760907562792
2578,Taiwan,Portugal,1,2013,2318.88720703125,0.0020000000949949,1159443.5484450131,13.96345074837351
2627,United States,Antigua and Barbuda,1,2013,4800.0,0.002,2400000.0,14.690979295318174
2631,United States,Equatorial Guinea,1,2013,13143.0,0.486,27043.20987654321,10.205191231563653
2641,United States,Oman,1,2013,4874.0,0.013,374923.07692307694,12.834476155705753
2651,United States,Morocco,1,2013,11519321.0,21.0,548539.0952380953,13.215013832799286
2677,Venezuela,China (mainland),1,2013,1371483.0,25000.0,54.85932,4.004772090244885
2739,Zimbabwe,South Africa,1,2013,7217.486328125,57.2,126.1798309112762,4.837708118882138
2748,Switzerland,Vietnam,2,2013,23268.5632324219,0.326612004876137,71242.21671290428,11.173840853046736
2749,Angola,Norway,2,2013,635.242980957031,0.002,317621.4904785155,12.66861567130055
2788,United Kingdom,Cuba,2,2013,6653.64013671875,0.052,127954.61801382212,11.759430933268174
2830,United Arab Emirates,Kazakhstan,2,2013,4536.35009765625,0.107150003314018,42336.44383903419,10.65340355058597
