Export_country,Import_country,Month,Year,Nominal Value (SUM),Tons (SUM),Price,log_Price,box-cox_Price
Italy,Sri Lanka,1,2013,1400.91125488281,0.004,350227.8137207025,12.766339118069313,3.5348765680833942
Estonia,China (mainland),1,2013,1796.0400390625,0.0504053975421731,35631.89909492912,10.480996557626534,3.439164814294863
United Arab Emirates,Kazakhstan,1,2013,11652.3603515625,0.32940000295639,35374.49983904579,10.473746496020023,3.438755688542578
Netherlands,Côte d'Ivoire,1,2013,2529.09033203125,0.0040000001899898,632272.5529764768,13.357075834875024,3.5512988875604083
Bulgaria,Peru,1,2013,20452.96875,0.572653015136719,35716.163556943684,10.483358626001236,3.4392979316957866
Bangladesh,Denmark,1,2013,170.291198730469,0.003000000026077,56763.73241674648,10.946652886982823,3.463808185345596
Czech Republic,Thailand,1,2013,738.371978759766,0.0050000002374872,147674.388737796,11.902765052927297,3.5055319661763136
"Areas, nes., Spec Cat, Islands, Other",Côte d'Ivoire,1,2013,761.447021484375,0.018,42302.6123046875,10.652604119739506,3.448614888928427
Denmark,Sri Lanka,1,2013,3183.64722442627,0.0169999997597188,187273.3687896788,12.14032469353748,3.514309261043318
Switzerland,Mexico,1,2013,1281.13498210907,0.0012879999615252,994670.0468779512,13.810166349967648,3.562209234108209
Mexico,Bolivia,1,2013,218.0,0.003,72666.66666666667,11.193638053103117,3.4756558839307417
Switzerland,Chile,1,2013,989.820251464844,0.0011210000514984,882979.666362886,13.691057451419349,3.5594712001175237
Norway,Malaysia,1,2013,2868.82885742188,0.047,61038.91186004,11.01926683912906,3.467375129699476
Switzerland,Portugal,1,2013,7440.97896575928,0.0446499992087483,166651.26758392787,12.023658689971152,3.510070185421679
Austria,Australia,1,2013,63798.0001564026,0.501094310818652,127317.35080403127,11.754438073796829,3.499754300278315
Czech Republic,Singapore,1,2013,2007.57360839844,0.028999999165535,69226.67814364414,11.145141589618127,3.4733924525535587
Luxembourg,Japan,1,2013,3476.33520507813,0.0850000008940697,40898.06080602839,10.61883792785132,3.446790448282719
Switzerland,South Korea,1,2013,2581.76293945313,0.0094734248257019,272526.88303903147,12.515492541573758,3.5270566766575695
Bulgaria,Italy,1,2013,60334.9699859619,0.121,498636.115586462,13.11963188143647,3.545016077189033
Switzerland,Croatia,1,2013,260.991973876953,0.001182000041008,220805.3847903264,12.30503698072505,3.520067725894504
Canada,Poland,1,2013,5722.05041503906,0.135384272297229,42265.25221834189,10.651720566891465,3.4485673642174772
Singapore,Iran,1,2013,28019.8671875,0.400000005960464,70049.66692492871,11.156959796934844,3.47394681160861
Norway,Singapore,1,2013,4910.81091308594,0.0502359821288385,97754.85030811882,11.490218096137,3.488861422586659
Belgium,Gabon,1,2013,14974.982421875,100.5,149.00480021766168,5.003978521652445,2.7212530773298966
Switzerland,Ukraine,1,2013,602.122573852539,0.001205000013113,499686.7778424368,13.12173673679098,3.545073589367264
United Kingdom,Vietnam,1,2013,18458.314453125,0.52117548373932,35416.6975021362,10.474938668766724,3.4388230195587894
Switzerland,Singapore,1,2013,1421.91896057129,0.0011185066886509,1271265.4962182348,14.05552341601947,3.5675751142867966
Switzerland,New Zealand,1,2013,29.2397665977478,9.99999977648258e-06,2923976.725130753,14.888455139878523,3.583317479621499
Netherlands,Gabon,1,2013,2152.58715820313,0.0109999999403954,195689.74271519444,12.184285738700344,3.5158717205576147
Switzerland,United Arab Emirates,1,2013,2347.84489798546,0.0009100000113248,2580049.306337037,14.763319067698536,3.5811758260670765
Switzerland,Algeria,1,2013,69.3090744018555,3.50000001490116e-05,1980259.26019354,14.49873833359058,3.5763981324420095
Brazil,Cuba,1,2013,3384.0,0.005,676800.0,13.425131087274153,3.553025450167962
Brazil,Saudi Arabia,1,2013,405.0,0.006,67500.0,11.119882876860622,3.472201593178665
Mexico,Czech Republic,1,2013,2184.51684570313,0.0500000007450581,43690.33626302582,10.684882218483176,3.4503431945546943
Switzerland,Qatar,1,2013,75.8068008422852,0.0004600000083446,164797.39014588838,12.012472059838714,3.509656542860151
Indonesia,South Korea,1,2013,2349.0,0.056,41946.42857142857,10.6441485729059,3.4481596075488565
Denmark,Singapore,1,2013,20357.78125,0.0010000000474974,20357780.28305735,16.828973720277638,3.608628467088341
Hong Kong SAR,Czech Republic,1,2013,14047.6936035156,0.347000002861023,40483.26653513557,10.608643995743613,3.4462363240701763
Switzerland,Denmark,1,2013,577.393615722656,0.0010000000474974,577393.5882979329,13.266279441712069,3.5489446049686006
