Export_country,Austria,Belgium,Brazil,Canada,China (mainland),France,Germany,India,Indonesia,Iran,Italy,Japan,Malaysia,Mexico,Netherlands,Oman,Russia,Slovakia,South Korea,Taiwan,Turkey,Ukraine,United Kingdom,United States,Vietnam
Austria,1.0,0.8396881963640052,-0.23931740613294497,-0.30529385427076716,-0.04801492658210353,0.6408330470143788,0.7283230822026016,-0.08482336231561369,-0.2114691185038803,-0.04946938490329186,0.7338629988671952,0.589990038425347,-0.3235546002994006,-0.2638849483877661,0.6694544500035318,-0.4046918069269207,0.37530200270919567,0.23116170654514223,0.37998276359810745,0.4774332447542296,-0.1821924439643953,0.6996249991001862,0.6282256623163233,0.05910157718348211,-0.26805924362452394
Belgium,0.8396881963640052,1.0,0.03683326375881784,-0.24076347203878598,0.024770039453932174,0.6772080942913331,0.815133850488041,-0.03134777832989163,-0.10749883197251678,0.24789312859542062,0.8094601454770914,0.44475119571033234,0.0038270541191350294,-0.18357310293420737,0.6813589487608259,-0.34822697345534104,0.49117977347804964,0.34611303046205144,0.48063660350861886,0.43615712829779196,-0.015944136911212624,0.6138534086794258,0.3414728610210329,0.14522954221463955,-0.12966841816458094
Brazil,-0.23931740613294497,0.03683326375881784,1.0,0.7548583273366509,0.1893144912209705,0.21059735759588366,0.1874237631780302,0.6975172702616034,0.3741664191917212,0.3606348093041975,-0.3305457060673968,0.2016739040260425,0.5961690808921548,0.7334514535448324,0.24258097831448683,0.5872287585859124,0.3938458072586791,0.6078217870383397,0.5850635566639704,0.481039301405713,0.7426319475325905,-0.03677244194985466,-0.37942784920943207,0.6320287083463778,0.5767396188854977
Canada,-0.30529385427076716,-0.24076347203878598,0.7548583273366509,1.0,0.09740117932708385,0.08125693880243841,0.08255790361898607,0.712724223911279,0.3821409367124213,0.3535737591704547,-0.555947494274016,0.20136083523272957,0.45772944781433833,0.8925215176427191,0.08597048722959813,0.8721583407112177,0.16052644458016732,0.5710655529638875,0.5517161742741526,0.49677751844275353,0.669887716049905,-0.15038230259662363,-0.40222150287009195,0.7451722309597065,0.5563372462336279
China (mainland),-0.04801492658210353,0.024770039453932174,0.1893144912209705,0.09740117932708385,1.0,0.10851563127703122,0.07681660203918121,-0.03557448650361527,0.19491724068657693,0.3042429571525638,0.06508380478060377,0.06139665203193968,-0.1947308550342139,0.002839576811749128,0.0865149031365867,-0.08167962411884643,0.09299517023155165,0.20238826177485472,-0.045953341243326035,-0.0036949624468419215,-0.20913102231436417,-0.13090378317115964,0.03456223512326665,0.22898381798167453,-0.04577388001006732
France,0.6408330470143788,0.6772080942913331,0.21059735759588366,0.08125693880243841,0.10851563127703122,1.0,0.835462753615681,0.28203069724386653,-0.04898011417557206,0.23333565714111704,0.549201608558531,0.6906561869894883,0.02620037744818246,0.16230731866851927,0.86036897267495,-0.12883155078767736,0.7772520072884609,0.659299763573564,0.6634968402964991,0.6239337337746608,0.33393861583122286,0.7623935751545198,0.32125413636953565,0.21255261834449404,0.16535558536571893
Germany,0.7283230822026016,0.815133850488041,0.1874237631780302,0.08255790361898607,0.07681660203918121,0.835462753615681,1.0,0.13350029722615492,-0.021382519650050367,0.3335864848067091,0.6483375383713131,0.5233865539221884,0.10132486817013381,0.14453765307490168,0.8003343645556033,-0.05397777883707446,0.5774141618732935,0.5965129525398778,0.6681915094397692,0.5805571453868222,0.24884304096367857,0.6340133819212729,0.23578819246454052,0.32934477747652974,0.059934421803957014
India,-0.08482336231561369,-0.03134777832989163,0.6975172702616034,0.712724223911279,-0.03557448650361527,0.28203069724386653,0.13350029722615492,1.0,0.5708235695240412,0.281932892536685,-0.313216169451105,0.29202001842286507,0.46906961933221375,0.7543892482047256,0.31006698766519664,0.6189622563195417,0.5990633506748938,0.6048731042853414,0.5535822864580421,0.602530303205427,0.6691590039139097,0.31401631154702797,-0.3110651327133405,0.41148086629973385,0.8172426668317953
Indonesia,-0.2114691185038803,-0.10749883197251678,0.3741664191917212,0.3821409367124213,0.19491724068657693,-0.04898011417557206,-0.021382519650050367,0.5708235695240412,1.0,0.3381163883675096,-0.09965577715527224,-0.2531881048266672,0.5259302968991987,0.5050084583817867,-0.10461369921954525,0.5530378633404885,0.29459143662059056,0.12888988560295023,0.12823915119693458,0.09349677334489255,0.3888754610710373,0.07660343446311736,-0.5167782750379106,0.08250254013074985,0.7054362550474034
Iran,-0.04946938490329186,0.24789312859542062,0.3606348093041975,0.3535737591704547,0.3042429571525638,0.23333565714111704,0.3335864848067091,0.281932892536685,0.3381163883675096,1.0,0.06253483265422424,-0.1101463270555647,0.278254621147307,0.22099654353049245,0.18928050370616273,0.2535968046965575,0.2282563638770723,0.5094467712634276,0.294276702361517,0.05147049247097617,0.1511063146171958,-0.11377577360074842,-0.5008363835061601,0.4289916635003275,0.26988310872327476
